feature,matrices,transformation,psi_mean_non_train,psi_max_non_train,ks_mean_non_train,ks_max_non_train,splits_drift_alto,splits_drift_moderado
effective_gas_price_log,A/B/C,robust_scaler_train,4.290494099656453,8.462851458064302,0.6628534878681652,0.8723540638758016,6,0
max_fee_per_gas_log,A/B/C,conditional_robust_scaler_train,2.5652433145852314,4.894907649475237,0.49019214167233405,0.6592537809154033,6,0
transaction_fee_paid_log,C,robust_scaler_train,2.4096844953289978,4.103430745720378,0.5029502721570814,0.7819341021754156,6,0
block_tx_count_log,B/C,robust_scaler_train,0.37605784823417193,1.0731798161844595,0.2250085711298472,0.45592229153726127,3,1
max_priority_fee_log,A/B/C,conditional_robust_scaler_train,0.2723913857668579,0.7508223695577667,0.1853380203391103,0.33680474162742946,2,4
receiver_tx_count_block_log,B/C,robust_scaler_train,0.06991028639531645,0.300154287891784,0.06921623656297314,0.20452869135841223,1,0
fee_cap_utilization,A/B/C,passthrough,0.11780729159171316,0.2694020199354088,0.08456967333443283,0.13845466777970972,1,1
transaction_value_log,A/B/C,robust_scaler_train,0.07070157033707347,0.20089813201609547,0.08124031533912089,0.17531831855063928,0,2
gas_used_log,A/B/C,robust_scaler_train,0.04257212855360095,0.12941353194411576,0.05899726909023212,0.09689338294983257,0,1
gas_limit_log,C,robust_scaler_train,0.03343534571430734,0.08562996023777707,0.05748131393381908,0.08918686079205884,0,0
nonce_log,A/B/C,robust_scaler_train,0.024152942406480884,0.06442245184381083,0.04407277079198907,0.06079635785499504,0,0
tx_type_3,A/B/C,passthrough,0.010804290533635267,0.06301919320167541,0.0020095259407533947,0.007101592353712438,0,0
gas_price_rank_block,B/C,passthrough,0.02219021610441653,0.05253277835576911,0.03618571444447363,0.08090841868496385,0,0
weekday_cos,B/C,passthrough,0.014353785981031592,0.03357594004981736,0.021742761981125486,0.03289151276909075,0,0
weekday_sin,B/C,passthrough,0.014204295893047003,0.033309768996540666,0.04245856110577668,0.08769771315853497,0,0
gas_used_ratio,A/B/C,passthrough,0.009900806442321842,0.01803624430399515,0.03407791202959282,0.05919714271259968,0,0
sender_tx_count_block_log,B/C,robust_scaler_train,0.008872772543271342,0.01342445095758075,0.024173022172039333,0.03249349843731841,0,0
hour_sin,B/C,passthrough,0.0013282348713515172,0.004501265473248166,0.011501420809150406,0.026513134701227292,0,0
hour_cos,B/C,passthrough,0.0013855623929692163,0.0037638683110372355,0.012810801103594801,0.025848065668058418,0,0
tx_type_0,A/B/C,passthrough,0.0008733136857423251,0.0031840664371514237,0.008475194199666655,0.02077662990379847,0,0
tx_type_1,A/B/C,passthrough,0.0010313014294680944,0.002532887625028505,0.0020853815789239985,0.004122870791143041,0,0
transaction_index_pct,A/B/C,passthrough,5.589028731046389e-06,1.592019123090147e-05,0.0008530253809919725,0.0018181141120566027,0,0
receipt_status,A/B/C,passthrough,0.0,0.0,0.0036266392103886567,0.006648125736293944,0,0
