split_order,split,role,transaction_type,rows,share
1,estresse_pre_dencun_2024,historical_stress,0,124222,0.1491840763994639
1,estresse_pre_dencun_2024,historical_stress,1,3355,0.0040291782157766045
1,estresse_pre_dencun_2024,historical_stress,2,705099,0.8467867453847595
2,transicao_dencun_2024,protocol_transition,0,35590,0.1456749798412679
2,transicao_dencun_2024,protocol_transition,1,1529,0.006258416526476499
2,transicao_dencun_2024,protocol_transition,2,206187,0.8439529943391825
2,transicao_dencun_2024,protocol_transition,3,1005,0.004113609293073173
3,treino_2024_pos_dencun,train,0,486691,0.1515713320273936
3,treino_2024_pos_dencun,train,1,18738,0.005835619765989716
3,treino_2024_pos_dencun,train,2,2682738,0.8354914558529043
3,treino_2024_pos_dencun,train,3,22803,0.0071015923537124295
4,validacao_2025_pre_pectra,validation,0,231724,0.16063442988308937
4,validacao_2025_pre_pectra,validation,1,11235,0.007788264572234681
4,validacao_2025_pre_pectra,validation,2,1189085,0.8242909282488363
4,validacao_2025_pre_pectra,validation,3,10511,0.007286377295839673
5,transicao_pectra_2025,protocol_transition,0,73034,0.17234796193119203
5,transicao_pectra_2025,protocol_transition,1,4220,0.00995849055713271
5,transicao_pectra_2025,protocol_transition,2,342933,0.8092642280163961
5,transicao_pectra_2025,protocol_transition,3,2823,0.006661805412982379
5,transicao_pectra_2025,protocol_transition,4,749,0.0017675140822967772
6,teste_final_2025,test,0,426934,0.15098186982643597
6,teste_final_2025,test,1,19380,0.006853585418908611
6,teste_final_2025,test,2,2346413,0.8297906049297012
6,teste_final_2025,test,3,21392,0.007565113482006862
6,teste_final_2025,test,4,13598,0.0048088263429473315
7,estresse_fusaka_2025,future_stress,0,83895,0.16370969945088612
7,estresse_fusaka_2025,future_stress,1,1356,0.002646049853452549
7,estresse_fusaka_2025,future_stress,2,419926,0.8194285625080494
7,estresse_fusaka_2025,future_stress,3,4090,0.007981079572729295
7,estresse_fusaka_2025,future_stress,4,3195,0.006234608614882665
