feature,transformation,fit_source,matrix_A,matrix_B,matrix_C
gas_used_log,robust_scaler_train,treino_2024_pos_dencun,True,True,True
gas_used_ratio,passthrough,not_applicable,True,True,True
effective_gas_price_log,robust_scaler_train,treino_2024_pos_dencun,True,True,True
max_fee_per_gas_log,conditional_robust_scaler_train,treino_2024_pos_dencun,True,True,True
max_priority_fee_log,conditional_robust_scaler_train,treino_2024_pos_dencun,True,True,True
fee_cap_utilization,passthrough,not_applicable,True,True,True
transaction_value_log,robust_scaler_train,treino_2024_pos_dencun,True,True,True
nonce_log,robust_scaler_train,treino_2024_pos_dencun,True,True,True
receipt_status,passthrough,not_applicable,True,True,True
tx_type_0,passthrough,not_applicable,True,True,True
tx_type_1,passthrough,not_applicable,True,True,True
tx_type_3,passthrough,not_applicable,True,True,True
transaction_index_pct,passthrough,not_applicable,True,True,True
block_tx_count_log,robust_scaler_train,treino_2024_pos_dencun,False,True,True
sender_tx_count_block_log,robust_scaler_train,treino_2024_pos_dencun,False,True,True
receiver_tx_count_block_log,robust_scaler_train,treino_2024_pos_dencun,False,True,True
gas_price_rank_block,passthrough,not_applicable,False,True,True
hour_sin,passthrough,not_applicable,False,True,True
hour_cos,passthrough,not_applicable,False,True,True
weekday_sin,passthrough,not_applicable,False,True,True
weekday_cos,passthrough,not_applicable,False,True,True
gas_limit_log,robust_scaler_train,treino_2024_pos_dencun,False,False,True
transaction_fee_paid_log,robust_scaler_train,treino_2024_pos_dencun,False,False,True
