feature,transformation,minimum,q1,median,mean,q3,maximum,stddev
gas_used_log,robust_scaler_train,-0.44609446388445456,-0.44609446388445456,0.0,0.0927009291368798,0.5539055361155455,3.6023888529992454,0.5171690174474015
gas_used_ratio,passthrough,0.0007368421052631579,0.5293791369300743,0.7280278820756305,0.6960920188374712,1.0,1.0,0.2887774613758241
effective_gas_price_log,robust_scaler_train,-2.5326902685112573,-0.5248355128950305,0.0,-0.04526347459217794,0.4751644871049695,8.814680786190062,0.7935876423239887
max_fee_per_gas_log,robust_scaler_train,-2.3934775152624033,-0.38096136444936823,0.0,0.055770669389485154,0.4019574698790864,7.138380386648773,0.7960375586579208
max_priority_fee_log,robust_scaler_train,-6.917596103832903,-0.5841014626887656,0.0,-0.3207142725754522,0.23137821372659653,4.138868649581112,1.2071773899465184
fee_cap_utilization,passthrough,0.0,0.36478137705148184,0.7413346315067423,0.610802733334216,0.8866352524506106,1.0,0.3557711226307202
transaction_value_log,robust_scaler_train,0.0,0.0,0.0,0.4669871666507806,1.0,1.3799909187875674,0.4972420235983386
nonce_log,robust_scaler_train,-0.6629378572783498,-0.3621657294019346,0.0,0.15476234401971006,0.6378342705980654,1.6408178616113354,0.6295252149366491
receipt_status,passthrough,0.0,1.0,1.0,0.98041432962625,1.0,1.0,0.13857156226985898
tx_type_0,passthrough,0.0,0.0,0.0,0.1515713320273936,0.0,1.0,0.35860494054636466
tx_type_1,passthrough,0.0,0.0,0.0,0.005835619765989716,0.0,1.0,0.07616801897602657
tx_type_3,passthrough,0.0,0.0,0.0,0.0071015923537124295,0.0,1.0,0.08397119706014797
transaction_index_pct,passthrough,0.0,0.2484076433121019,0.5,0.4999998442838131,0.7515923566878981,1.0,0.290452469041026
block_tx_count_log,robust_scaler_train,-10.846099436456571,-0.4530951390687847,0.0,0.07341940193150172,0.5469048609312154,5.078861744196001,0.9048586505484572
sender_tx_count_block_log,robust_scaler_train,0.0,0.0,0.0,0.12636887264301275,0.0,4.890349128221754,0.40611879406694845
receiver_tx_count_block_log,robust_scaler_train,0.0,0.0,0.0,0.5441918140458402,1.0,5.193744809479722,0.823328913711248
gas_price_rank_block,passthrough,0.0,0.2,0.45121951219512196,0.4613170783981566,0.7071823204419889,1.0,0.29684473201435546
hour_sin,passthrough,-1.0,-0.7071067811865477,0.0,-0.019915926748595384,0.7071067811865476,1.0,0.7064704908747412
hour_cos,passthrough,-1.0,-0.7071067811865479,-1.8369701987210297e-16,-0.026333125855118683,0.7071067811865474,1.0,0.7069721910801249
weekday_sin,passthrough,-0.9749279121818236,-0.7818314824680299,0.0,0.010573827334058792,0.7818314824680298,0.9749279121818236,0.7113246529422406
weekday_cos,passthrough,-0.9009688679024191,-0.900968867902419,-0.22252093395631434,-0.011627487089863536,0.6234898018587336,1.0,0.7026880852779759
