split,matrix,rows,features,invalid_values,output_path,size_bytes
estresse_pre_dencun_2024,A,832676,13,0,E:\Mestrado\src\03-machine-learning\01-features\resultados-splits\01-estresse_pre_dencun_2024\12_matriz_A_preprocessada.parquet,28352632
estresse_pre_dencun_2024,B,832676,21,0,E:\Mestrado\src\03-machine-learning\01-features\resultados-splits\01-estresse_pre_dencun_2024\13_matriz_B_preprocessada.parquet,32140900
estresse_pre_dencun_2024,C,832676,23,0,E:\Mestrado\src\03-machine-learning\01-features\resultados-splits\01-estresse_pre_dencun_2024\14_matriz_C_preprocessada.parquet,40381557
transicao_dencun_2024,A,244311,13,0,E:\Mestrado\src\03-machine-learning\01-features\resultados-splits\02-transicao_dencun_2024\12_matriz_A_preprocessada.parquet,7852303
transicao_dencun_2024,B,244311,21,0,E:\Mestrado\src\03-machine-learning\01-features\resultados-splits\02-transicao_dencun_2024\13_matriz_B_preprocessada.parquet,8952264
transicao_dencun_2024,C,244311,23,0,E:\Mestrado\src\03-machine-learning\01-features\resultados-splits\02-transicao_dencun_2024\14_matriz_C_preprocessada.parquet,11245389
treino_2024_pos_dencun,A,3210970,13,0,E:\Mestrado\src\03-machine-learning\01-features\resultados-matrizes\12_matriz_A_preprocessada.parquet,119678173
treino_2024_pos_dencun,B,3210970,21,0,E:\Mestrado\src\03-machine-learning\01-features\resultados-matrizes\13_matriz_B_preprocessada.parquet,134475871
treino_2024_pos_dencun,C,3210970,23,0,E:\Mestrado\src\03-machine-learning\01-features\resultados-matrizes\14_matriz_C_preprocessada.parquet,167617207
validacao_2025_pre_pectra,A,1442555,13,0,E:\Mestrado\src\03-machine-learning\01-features\resultados-splits\04-validacao_2025_pre_pectra\12_matriz_A_preprocessada.parquet,52624676
validacao_2025_pre_pectra,B,1442555,21,0,E:\Mestrado\src\03-machine-learning\01-features\resultados-splits\04-validacao_2025_pre_pectra\13_matriz_B_preprocessada.parquet,59568083
validacao_2025_pre_pectra,C,1442555,23,0,E:\Mestrado\src\03-machine-learning\01-features\resultados-splits\04-validacao_2025_pre_pectra\14_matriz_C_preprocessada.parquet,73700879
transicao_pectra_2025,A,423759,13,0,E:\Mestrado\src\03-machine-learning\01-features\resultados-splits\05-transicao_pectra_2025\12_matriz_A_preprocessada.parquet,14863190
transicao_pectra_2025,B,423759,21,0,E:\Mestrado\src\03-machine-learning\01-features\resultados-splits\05-transicao_pectra_2025\13_matriz_B_preprocessada.parquet,16881153
transicao_pectra_2025,C,423759,23,0,E:\Mestrado\src\03-machine-learning\01-features\resultados-splits\05-transicao_pectra_2025\14_matriz_C_preprocessada.parquet,20901130
teste_final_2025,A,2827717,13,0,E:\Mestrado\src\03-machine-learning\01-features\resultados-splits\06-teste_final_2025\12_matriz_A_preprocessada.parquet,104234073
teste_final_2025,B,2827717,21,0,E:\Mestrado\src\03-machine-learning\01-features\resultados-splits\06-teste_final_2025\13_matriz_B_preprocessada.parquet,118080935
teste_final_2025,C,2827717,23,0,E:\Mestrado\src\03-machine-learning\01-features\resultados-splits\06-teste_final_2025\14_matriz_C_preprocessada.parquet,145071158
estresse_fusaka_2025,A,512462,13,0,E:\Mestrado\src\03-machine-learning\01-features\resultados-splits\07-estresse_fusaka_2025\12_matriz_A_preprocessada.parquet,17298239
estresse_fusaka_2025,B,512462,21,0,E:\Mestrado\src\03-machine-learning\01-features\resultados-splits\07-estresse_fusaka_2025\13_matriz_B_preprocessada.parquet,19776477
estresse_fusaka_2025,C,512462,23,0,E:\Mestrado\src\03-machine-learning\01-features\resultados-splits\07-estresse_fusaka_2025\14_matriz_C_preprocessada.parquet,24253240
