feature,total_rows,null_count,non_finite_count,distinct_count,minimum,maximum,mean,stddev,is_constant
gas_used_log,832676,0,0,146673,9.952325334619427,17.000167208306202,10.865871629510686,0.9281829764915096,False
gas_used_ratio,832676,0,0,240476,0.0007368421052631579,1.0,0.7083731071968977,0.29167258325605777,False
effective_gas_price_log,832676,0,0,218439,22.688274138042605,31.42992303224369,24.18051735145466,0.6147626342967508,False
max_fee_per_gas_log,832676,0,0,255706,0.0,31.43081563061366,20.83971447241201,8.893534346287735,False
max_priority_fee_log,832676,0,0,69920,0.0,31.428575586668163,16.059010752631163,7.623788109893592,False
fee_cap_utilization,832676,0,0,293278,0.0,1.0,0.5983262393841662,0.32781564000799024,False
transaction_value_log,832676,0,0,236848,0.0,52.160949442645276,18.2622944990434,19.210063759878647,False
nonce_log,832676,0,0,222976,0.0,17.63655256514419,6.470223202894473,4.879159952196446,False
receipt_status,832676,0,0,2,0,1,0.984231561855992,0.1245785420567458,False
tx_type_0,832676,0,0,2,0,1,0.1491840763994639,0.35627003828914855,False
tx_type_1,832676,0,0,2,0,1,0.0040291782157766045,0.06334783941084433,False
tx_type_3,832676,0,0,1,0,0,0.0,0.0,True
transaction_index_pct,832676,0,0,51363,0.0,1.0,0.49999999999999956,0.2904620125265437,False
block_tx_count_log,832676,0,0,372,1.9459101490553132,7.111512116496157,5.160760652724063,0.36565309438785737,False
sender_tx_count_block_log,832676,0,0,91,0.6931471805599453,5.961005339623274,0.8874822207529766,0.5789319410935565,False
receiver_tx_count_block_log,832676,0,0,135,0.6931471805599453,6.498282149476434,1.4015397296685803,1.0356034964193064,False
gas_price_rank_block,832676,0,0,27825,0.0,1.0,0.44222550380028613,0.31099332795909257,False
hour_sin,832676,0,0,21,-1.0,1.0,-0.009495511834921493,0.7073926761581013,False
hour_cos,832676,0,0,22,-1.0,1.0,-0.020230224600899474,0.7064682408533541,False
weekday_sin,832676,0,0,7,-0.9749279121818236,0.9749279121818236,0.026058287054052522,0.7115794110196222,False
weekday_cos,832676,0,0,7,-0.9009688679024191,1.0,0.004544014797631033,0.7021084385810781,False
gas_limit_log,832676,0,0,158374,9.952325334619427,17.216707972959764,11.38476198027082,1.2196300741363073,False
transaction_fee_paid_log,832676,0,0,581068,32.64055185460801,42.727053591980805,35.04636254273507,1.107359297970632,False
