feature,total_rows,null_count,non_finite_count,distinct_count,minimum,maximum,mean,stddev,is_constant
gas_used_log,244311,0,0,56251,9.952325334619427,17.108341243265194,10.81594186771582,0.8822237076259879,False
gas_used_ratio,244311,0,0,78013,0.000850561403508772,1.0,0.7144306622881046,0.2863882706110724,False
effective_gas_price_log,244311,0,0,63751,23.196239225163804,30.652717870540368,24.180907169095754,0.4327169214591194,False
max_fee_per_gas_log,244311,0,0,78979,0.0,30.652717870540368,20.864353651582984,8.852279404049224,False
max_priority_fee_log,244311,0,0,25807,0.0,30.652717870540368,16.111134702880452,7.60249805075454,False
fee_cap_utilization,244311,0,0,87215,0.0,1.0,0.6038065490201866,0.33199475322498634,False
transaction_value_log,244311,0,0,75225,0.0,50.93018995794123,18.37810888359715,19.107662478281288,False
nonce_log,244311,0,0,73869,0.0,16.260550746148333,6.136848523801678,5.0507181681133915,False
receipt_status,244311,0,0,2,0,1,0.9859646106806489,0.11763695766545419,False
tx_type_0,244311,0,0,2,0,1,0.1456749798412679,0.35278079525222156,False
tx_type_1,244311,0,0,2,0,1,0.006258416526476499,0.0788623750938293,False
tx_type_3,244311,0,0,2,0,1,0.004113609293073173,0.06400550195144115,False
transaction_index_pct,244311,0,0,42435,0.0,1.0,0.4999999999999995,0.2902749262868828,False
block_tx_count_log,244311,0,0,336,1.6094379124341003,6.298949246855942,5.297646879640303,0.40758478617934113,False
sender_tx_count_block_log,244311,0,0,50,0.6931471805599453,4.867534450455582,0.859525168544621,0.4792190965298924,False
receiver_tx_count_block_log,244311,0,0,87,0.6931471805599453,5.8289456176102075,1.4213230601513902,1.038400516622766,False
gas_price_rank_block,244311,0,0,22658,0.0,1.0,0.447268210333182,0.30307410075760405,False
hour_sin,244311,0,0,21,-1.0,1.0,-0.015177906977096863,0.7077813530033749,False
hour_cos,244311,0,0,22,-1.0,1.0,-0.010122574830396656,0.7061988478872568,False
weekday_sin,244311,0,0,7,-0.9749279121818236,0.9749279121818236,-0.092176958716504,0.6827742978135556,False
weekday_cos,244311,0,0,7,-0.9009688679024191,1.0,-0.009418326184864382,0.7247330678796015,False
gas_limit_log,244311,0,0,57272,9.952325334619427,17.216707972959764,11.310784287190456,1.1531071764643093,False
transaction_fee_paid_log,244311,0,0,170255,33.14851694178503,42.93988651499184,34.99682194593789,0.9778081024534623,False
