feature,total_rows,null_count,non_finite_count,distinct_count,minimum,maximum,mean,stddev,is_constant
gas_used_log,423759,0,0,92116,9.952325334619427,17.249312713070776,10.85936843737674,0.932341310085177,False
gas_used_ratio,423759,0,0,129285,0.0016666666666666668,1.0,0.6913623590539771,0.2929017037529458,False
effective_gas_price_log,423759,0,0,136199,19.412722229304368,28.50493792497235,21.52929264474584,0.9964796766272631,False
max_fee_per_gas_log,423759,0,0,153078,0.0,28.527888150435675,18.07546034392004,8.636963756519023,False
max_priority_fee_log,423759,0,0,56423,0.0,28.50493792497235,15.496558549083163,8.382386449989054,False
fee_cap_utilization,423759,0,0,158895,0.0,1.0,0.5986464830630052,0.37806236665892895,False
transaction_value_log,423759,0,0,134115,0.0,51.62662862465993,16.537910393002115,18.19641244021571,False
nonce_log,423759,0,0,128048,0.0,16.502202758804653,6.518644187522747,4.94176522774445,False
receipt_status,423759,0,0,2,0,1,0.9811827005444133,0.13587955058417317,False
tx_type_0,423759,0,0,2,0,1,0.17234796193119203,0.3776830398182413,False
tx_type_1,423759,0,0,2,0,1,0.00995849055713271,0.0992942208255165,False
tx_type_3,423759,0,0,2,0,1,0.006661805412982379,0.08134765748115368,False
transaction_index_pct,423759,0,0,52037,0.0,1.0,0.4999988200840541,0.2901839712102697,False
block_tx_count_log,423759,0,0,360,0.6931471805599453,6.946013991099227,5.340122831765046,0.3851337478925806,False
sender_tx_count_block_log,423759,0,0,61,0.6931471805599453,6.175867270105761,0.8629577065129831,0.5166089827538994,False
receiver_tx_count_block_log,423759,0,0,107,0.6931471805599453,6.729824070489475,1.4500095343721284,1.1203094057806824,False
gas_price_rank_block,423759,0,0,33176,0.0,1.0,0.469316996283939,0.2892502903154677,False
hour_sin,423759,0,0,21,-1.0,1.0,-0.027321089353811164,0.7092975741225429,False
hour_cos,423759,0,0,22,-1.0,1.0,-0.026707860121603776,0.7038746735185184,False
weekday_sin,423759,0,0,7,-0.9749279121818236,0.9749279121818236,-0.0717995059568027,0.7140150242018508,False
weekday_cos,423759,0,0,7,-0.9009688679024191,1.0,-0.03185173127278827,0.695712001227005,False
gas_limit_log,423759,0,0,89410,9.952325334619427,17.378435215849425,11.402003452627325,1.2635037389539896,False
transaction_fee_paid_log,423759,0,0,295520,29.364999942301914,41.42353540951828,32.38863448730352,1.3881279556229111,False
