feature,total_rows,null_count,non_finite_count,distinct_count,minimum,maximum,mean,stddev,is_constant
gas_used_log,512462,0,0,92066,9.952325334619427,17.780152521699144,10.864216927467961,0.9971550534262682,False
gas_used_ratio,512462,0,0,126561,0.0011134683337423042,1.0,0.7038479660584364,0.2761760268678187,False
effective_gas_price_log,512462,0,0,151708,16.26311185246278,27.602273109131264,18.951336743600336,1.6303952416806617,False
max_fee_per_gas_log,512462,0,0,173756,0.0,28.041142062226523,16.573856588636833,7.734456431281829,False
max_priority_fee_log,512462,0,0,70136,0.0,27.602273109129207,12.114052296740578,8.461080082277922,False
fee_cap_utilization,512462,0,0,181233,0.0,1.0,0.6012454276154817,0.40361453930116814,False
transaction_value_log,512462,0,0,140264,0.0,51.75491750725421,13.489200908885605,17.0915580277431,False
nonce_log,512462,0,0,143843,0.0,16.620979381209914,6.169753155242792,4.949582259457298,False
receipt_status,512462,0,0,2,0,1,0.987062455362544,0.11300526313185796,False
tx_type_0,512462,0,0,2,0,1,0.16370969945088612,0.37001229833088595,False
tx_type_1,512462,0,0,2,0,1,0.002646049853452549,0.05137171812758432,False
tx_type_3,512462,0,0,2,0,1,0.007981079572729295,0.08897975832350213,False
transaction_index_pct,512462,0,0,76345,0.0,1.0,0.4999999999999973,0.28992426840197977,False
block_tx_count_log,512462,0,0,449,1.3862943611198906,6.923628628138427,5.547926280721012,0.4236727484012166,False
sender_tx_count_block_log,512462,0,0,64,0.6931471805599453,5.648974238161206,0.8372696967324031,0.476707893959696,False
receiver_tx_count_block_log,512462,0,0,176,0.6931471805599453,6.566672429803241,1.9190363706074967,1.496013878203101,False
gas_price_rank_block,512462,0,0,44189,0.0,1.0,0.4658312695644009,0.29759924553096156,False
hour_sin,512462,0,0,21,-1.0,1.0,-0.05547994760610639,0.7018051518509056,False
hour_cos,512462,0,0,22,-1.0,1.0,-0.057211858415765246,0.7078984718730531,False
weekday_sin,512462,0,0,7,-0.9749279121818236,0.9749279121818236,0.11564533000285834,0.7131947161592331,False
weekday_cos,512462,0,0,7,-0.9009688679024191,1.0,-0.05385668579116363,0.6892610764415533,False
gas_limit_log,512462,0,0,86523,9.952325334619427,17.858561843342684,11.357118233677923,1.2810627818068732,False
transaction_fee_paid_log,512462,0,0,328829,26.22240219796385,41.95586475032727,29.8155270920736,1.8642668430634088,False
