column_name,column_type,null,key,default,extra
gas,BIGINT,YES,,,
hash,VARCHAR,YES,,,
nonce,BIGINT,YES,,,
value,DOUBLE,YES,,,
block_number,BIGINT,YES,,,
block_hash,VARCHAR,YES,,,
transaction_index,BIGINT,YES,,,
from_address,VARCHAR,YES,,,
to_address,VARCHAR,YES,,,
gas_price,BIGINT,YES,,,
receipt_cumulative_gas_used,BIGINT,YES,,,
receipt_gas_used,BIGINT,YES,,,
receipt_contract_address,VARCHAR,YES,,,
receipt_status,BIGINT,YES,,,
receipt_effective_gas_price,BIGINT,YES,,,
transaction_type,BIGINT,YES,,,
max_fee_per_gas,BIGINT,YES,,,
max_priority_fee_per_gas,BIGINT,YES,,,
block_timestamp,TIMESTAMP,YES,,,
date,VARCHAR,YES,,,
last_modified,TIMESTAMP,YES,,,
