,gas_limit_log,gas_used_log,gas_used_ratio,effective_gas_price_log,max_fee_per_gas_log,max_priority_fee_log,fee_cap_utilization,transaction_fee_paid_log,transaction_value_log,is_zero_value,nonce_log,receipt_status,tx_type_0,tx_type_1,tx_type_2,tx_type_3,transaction_index_pct,block_tx_count_log,sender_tx_count_block_log,receiver_tx_count_block_log,gas_price_rank_block,value_rank_block,hour_sin,hour_cos,weekday_sin,weekday_cos
gas_limit_log,1.0,0.813799210438164,-0.7263253873115553,0.055589507127968486,0.14220799667852982,0.12056550988513236,-0.13178056525860016,0.6129226315118423,-0.37009260649826664,0.3540825263155189,0.2392200356698552,-0.15412021217663321,-0.14643114039211996,0.06728085143654008,0.11414866984592276,0.06014093414458378,-0.23729577667519322,-0.07206596379651371,-0.006607400616794115,0.053543105625608135,0.09743997430165227,-0.32245784809019856,0.0036792590758126867,-0.003790365003707152,0.005744959876528497,0.003913443819841193
gas_used_log,0.813799210438164,1.0,-0.2467986962808923,0.009484869686953935,0.19428827522469178,0.16364210202474638,0.1294531710281406,0.7118455881765923,-0.3808752560407441,0.3574412946267215,-0.023009419113325998,-0.06321312602994332,-0.20280964723724215,-0.03839017728570021,0.19981623421648545,0.01882100717655402,-0.21805215018551244,-0.06035240878517123,-0.13161344167290634,0.08556438673729423,-0.001228275180066438,-0.33433915654428686,0.015116578434386707,0.006228107624913022,-0.001733193267159258,0.01346434211861932
gas_used_ratio,-0.7263253873115553,-0.2467986962808923,1.0,-0.09935281778797549,-0.03363375888074856,-0.034295616972527504,0.3720287909885267,-0.2438217592248225,0.2509437196382619,-0.24807314530246485,-0.41901555979472305,0.13525985618134626,0.0180588506360465,-0.09999929128269072,0.009480072088810845,-0.027982249126201467,0.18039454780686154,0.05366662208382157,-0.13511163924475253,-0.04208279760237154,-0.18798646670567162,0.21923128608524886,0.005793144144629669,0.02396607740097542,-0.011988117470461048,0.011555413044183968
effective_gas_price_log,0.055589507127968486,0.009484869686953935,-0.09935281778797549,1.0,0.12472300538175721,0.13781053596942786,-0.025237979907197564,0.7090561710835139,0.010547375881645032,-0.0025630223476058697,0.10893559880704448,-0.00572105903699483,-0.04587257703578185,0.022577958937826135,0.03887780116956779,0.0037016929927797134,-0.17560857877001457,0.057558348130465786,0.04996306659851823,-0.002379337503231395,0.2579076245559671,0.01007261368464506,-0.24569938112998,-0.15764690739953183,0.11404624817272438,-0.20881237857431986
max_fee_per_gas_log,0.14220799667852982,0.19428827522469178,-0.03363375888074856,0.12472300538175721,1.0,0.8991959731531916,-0.622154435725901,0.22461059987409368,-0.07596142147590462,0.08052947891015229,0.0516411956619514,-0.02686857545863095,-0.9697978110886104,-0.17628696663026355,0.9647386851010469,0.04249007806255896,-0.0013671492981262286,-0.07268876233557003,-0.09565866974470816,-0.09382227307628993,-0.05497259108435897,-0.05431708060226354,-0.024817083099971524,-0.03692044664085613,0.014331719680333983,-0.02693195829737613
max_priority_fee_log,0.12056550988513236,0.16364210202474638,-0.034295616972527504,0.13781053596942786,0.8991959731531916,1.0,-0.08605006640653746,0.2121916885020339,-0.07886333932104655,0.10186467843502338,-0.00883920493743287,-0.025795039822463926,-0.8722798744888175,-0.15856044565995764,0.8656005081599366,0.047620144197235995,-0.11474402556326918,-0.08233557751529377,-0.10336219877706537,-0.06366705966712415,0.19328478490259923,-0.06436183798020333,-0.018143954622171762,-0.03457565209917323,0.009617606140232549,-0.01790271695312809
fee_cap_utilization,-0.13178056525860016,0.1294531710281406,0.3720287909885267,-0.025237979907197564,-0.622154435725901,-0.08605006640653746,1.0,0.07585924699158546,0.005270428805593378,-0.030136625117342688,-0.4279370567534986,0.03811609593633057,,,0.1091706531834595,-0.10917065318345956,0.030992559772399644,0.009241665859640322,-0.18527210919175177,0.031121942312134956,-0.10533502146083086,0.013154246428293978,-0.0025931292915603024,0.020393362313357914,-0.008612152615232821,0.010178843710683618
transaction_fee_paid_log,0.6129226315118423,0.7118455881765923,-0.2438217592248225,0.7090561710835139,0.22461059987409368,0.2121916885020339,0.07585924699158546,1.0,-0.26118143751317235,0.25026414903907596,0.06028691537758592,-0.048595328255291614,-0.17523771157426063,-0.011214273098027494,0.1682139647732634,0.015872059670276956,-0.27710917049306577,-0.002132508091492466,-0.05771933109644658,0.058668440586400555,0.18027991708285296,-0.2286982864394451,-0.16191123640989175,-0.10633426797565287,0.07888017462918535,-0.13716821304548057
transaction_value_log,-0.37009260649826664,-0.3808752560407441,0.2509437196382619,0.010547375881645032,-0.07596142147590462,-0.07886333932104655,0.005270428805593378,-0.26118143751317235,1.0,-0.9766770862139758,-0.021159657926816917,0.023811917464022548,0.07066388217263052,0.04856009082977359,-0.061645522795059304,-0.07381010931850422,0.06794889320306195,0.02507333208765208,0.030353361505171973,-0.15834544066982004,0.002567387215341516,0.9751927369832828,-0.02747715394942674,0.023340912945121712,0.002954999200937101,-0.003849184517907627
is_zero_value,0.3540825263155189,0.3574412946267215,-0.24807314530246485,-0.0025630223476058697,0.08052947891015229,0.10186467843502338,-0.030136625117342688,0.25026414903907596,-0.9766770862139758,1.0,-0.005279530981523634,-0.030731669379567166,-0.07385707201727744,-0.04692155693615754,0.0650179832643165,0.07106469831112872,-0.04493500841521104,-0.025659618161065607,-0.04009245318426243,0.1632436047850508,0.004726299875622389,-0.9593172588902118,0.02049115273801508,-0.02738070759177915,-0.0007845262941529909,-0.001549773786456719
