split_order,split,role,configuration,matrix,rows,anomalies_q990,anomaly_rate_q990,anomalies_q995,anomaly_rate_q995,anomalies_q999,anomaly_rate_q999,score_path,score_size_bytes
1,estresse_pre_dencun_2024,historical_stress,a_completa,A,832676,4661,0.005597615399026752,2102,0.002524391239809962,365,0.0004383457671411209,E:\Mestrado\src\03-machine-learning\02-ae\resultados\escores\a_completa\01_estresse_pre_dencun_2024.parquet,6464650
2,transicao_dencun_2024,protocol_transition,a_completa,A,244311,1056,0.00432235961540823,491,0.002009733495421819,60,0.0002455886145118312,E:\Mestrado\src\03-machine-learning\02-ae\resultados\escores\a_completa\02_transicao_dencun_2024.parquet,1903117
3,treino_2024_pos_dencun,train,a_completa,A,3210970,14917,0.004645636676767456,7753,0.002414535171614808,1645,0.0005123062501362517,E:\Mestrado\src\03-machine-learning\02-ae\resultados\escores\a_completa\03_treino_2024_pos_dencun.parquet,24865370
4,validacao_2025_pre_pectra,validation,a_completa,A,1442555,14426,0.010000311946511572,7213,0.005000155973255786,1443,0.0010003084804392206,E:\Mestrado\src\03-machine-learning\02-ae\resultados\escores\a_completa\04_validacao_2025_pre_pectra.parquet,11298197
5,transicao_pectra_2025,protocol_transition,a_completa,A,423759,5992,0.014140112658374218,2452,0.005786307783433508,589,0.0013899409806045417,E:\Mestrado\src\03-machine-learning\02-ae\resultados\escores\a_completa\05_transicao_pectra_2025.parquet,3381429
6,teste_final_2025,test,a_completa,A,2827717,81282,0.028744743551069644,51622,0.018255716537404557,10392,0.0036750495187460415,E:\Mestrado\src\03-machine-learning\02-ae\resultados\escores\a_completa\06_teste_final_2025.parquet,22077294
7,estresse_fusaka_2025,future_stress,a_completa,A,512462,53557,0.10450921239038212,37332,0.07284832826629097,6912,0.013487829341492638,E:\Mestrado\src\03-machine-learning\02-ae\resultados\escores\a_completa\07_estresse_fusaka_2025.parquet,4044455
1,estresse_pre_dencun_2024,historical_stress,b_completa,B,832676,9319,0.011191627956131796,6029,0.0072405113153255285,2515,0.0030203824776984084,E:\Mestrado\src\03-machine-learning\02-ae\resultados\escores\b_completa\01_estresse_pre_dencun_2024.parquet,6388196
2,transicao_dencun_2024,protocol_transition,b_completa,B,244311,1086,0.004445153922664145,370,0.0015144631228229592,20,8.186287150394374e-05,E:\Mestrado\src\03-machine-learning\02-ae\resultados\escores\b_completa\02_transicao_dencun_2024.parquet,1880698
3,treino_2024_pos_dencun,train,b_completa,B,3210970,11718,0.0036493645222471713,6770,0.002108397151016671,700,0.0002180026596324475,E:\Mestrado\src\03-machine-learning\02-ae\resultados\escores\b_completa\03_treino_2024_pos_dencun.parquet,24551204
4,validacao_2025_pre_pectra,validation,b_completa,B,1442555,14426,0.010000311946511572,7213,0.005000155973255786,1443,0.0010003084804392206,E:\Mestrado\src\03-machine-learning\02-ae\resultados\escores\b_completa\04_validacao_2025_pre_pectra.parquet,11152216
