split_order,split,role,configuration,is_type_4,rows,anomalies_q995,anomaly_rate_q995,score_mean,score_median,score_q995
1,estresse_pre_dencun_2024,historical_stress,a_completa,0,832676,2102,0.002524391239809962,0.031145136363527205,0.018982775509357452,0.1989540308713913
2,transicao_dencun_2024,protocol_transition,a_completa,0,244311,491,0.002009733495421819,0.02730058356186808,0.01779499463737011,0.18198929727077484
3,treino_2024_pos_dencun,train,a_completa,0,3210970,7753,0.002414535171614808,0.026034608476552378,0.015792464837431908,0.18636038899421692
4,validacao_2025_pre_pectra,validation,a_completa,0,1442555,7213,0.005000155973255786,0.028820032877490357,0.016625545918941498,0.2576139271259308
5,transicao_pectra_2025,protocol_transition,a_completa,0,423010,2452,0.00579655327297227,0.02886161202891242,0.016069265082478523,0.26237040758132935
5,transicao_pectra_2025,protocol_transition,a_completa,1,749,0,0.0,0.05219124738380029,0.03712174668908119,0.16460518538951874
6,teste_final_2025,test,a_completa,0,2814119,51589,0.018332202724902536,0.03998745587674418,0.020289169624447823,0.4368320107460022
6,teste_final_2025,test,a_completa,1,13598,33,0.002426827474628622,0.04495346736079656,0.027988344430923462,0.22530019283294678
7,estresse_fusaka_2025,future_stress,a_completa,0,509267,37253,0.07315023357099518,0.09147206806495103,0.04497725889086723,0.9009682536125183
7,estresse_fusaka_2025,future_stress,a_completa,1,3195,79,0.024726134585289515,0.09877614561209298,0.06550318747758865,0.3801725506782532
1,estresse_pre_dencun_2024,historical_stress,b_completa,0,832676,6029,0.0072405113153255285,0.15099061353538884,0.13424408435821533,0.737601637840271
2,transicao_dencun_2024,protocol_transition,b_completa,0,244311,370,0.0015144631228229592,0.14573061992086023,0.13798575103282928,0.46218791604042053
3,treino_2024_pos_dencun,train,b_completa,0,3210970,6770,0.002108397151016671,0.12317942267592648,0.11269863694906235,0.4372257888317108
4,validacao_2025_pre_pectra,validation,b_completa,0,1442555,7213,0.005000155973255786,0.16244054713264616,0.14651525020599365,0.5968264937400818
5,transicao_pectra_2025,protocol_transition,b_completa,0,423010,1958,0.0046287321812723105,0.15197887444665778,0.1365150511264801,0.5913755893707275
5,transicao_pectra_2025,protocol_transition,b_completa,1,749,0,0.0,0.15179535687387546,0.14685490727424622,0.4242856502532959
6,teste_final_2025,test,b_completa,0,2814119,47055,0.01672104129214152,0.20331794361393396,0.17497752606868744,0.7968971729278564
6,teste_final_2025,test,b_completa,1,13598,470,0.03456390645683189,0.24897358249990725,0.21884945034980774,1.111970067024231
7,estresse_fusaka_2025,future_stress,b_completa,0,509267,76595,0.1504024411556217,0.3793144070271247,0.3560194671154022,1.094552755355835
7,estresse_fusaka_2025,future_stress,b_completa,1,3195,493,0.1543035993740219,0.436047716593845,0.43947434425354004,0.9229706525802612
1,estresse_pre_dencun_2024,historical_stress,c_completa,0,832676,7611,0.009140409955372799,0.14826788838487842,0.13012151420116425,0.7903323769569397
