split_order,split,role,configuration,ae_anomalies,if_anomalies,intersection,union,jaccard
1,estresse_pre_dencun_2024,historical_stress,a_completa,2102,1671,154,3619,0.0425531914893617
1,estresse_pre_dencun_2024,historical_stress,b_completa,6029,2966,2193,6802,0.32240517494854454
1,estresse_pre_dencun_2024,historical_stress,c_completa,7611,3239,2237,8613,0.25972367351677694
1,estresse_pre_dencun_2024,historical_stress,b_sem_taxas_absolutas,8079,3158,2683,8554,0.31365443067570725
1,estresse_pre_dencun_2024,historical_stress,c_sem_taxas_absolutas,6939,3469,2116,8292,0.2551857211770381
2,transicao_dencun_2024,protocol_transition,a_completa,491,364,23,832,0.027644230769230768
2,transicao_dencun_2024,protocol_transition,b_completa,370,290,5,655,0.007633587786259542
2,transicao_dencun_2024,protocol_transition,c_completa,530,308,29,809,0.03584672435105068
2,transicao_dencun_2024,protocol_transition,b_sem_taxas_absolutas,370,256,13,613,0.021207177814029365
2,transicao_dencun_2024,protocol_transition,c_sem_taxas_absolutas,356,647,16,987,0.016210739614994935
3,treino_2024_pos_dencun,train,a_completa,7753,5565,721,12597,0.05723584980550925
3,treino_2024_pos_dencun,train,b_completa,6770,1894,469,8195,0.057230018303843805
3,treino_2024_pos_dencun,train,c_completa,6314,2442,545,8211,0.06637437583729144
3,treino_2024_pos_dencun,train,b_sem_taxas_absolutas,4681,2475,436,6720,0.06488095238095239
3,treino_2024_pos_dencun,train,c_sem_taxas_absolutas,6789,4688,1039,10438,0.09954014178961487
4,validacao_2025_pre_pectra,validation,a_completa,7213,7213,798,13628,0.058555914294100384
4,validacao_2025_pre_pectra,validation,b_completa,7213,7214,1794,12633,0.1420090239848017
4,validacao_2025_pre_pectra,validation,c_completa,7213,7213,2771,11655,0.23775203775203776
4,validacao_2025_pre_pectra,validation,b_sem_taxas_absolutas,7213,7213,4604,9822,0.46874363673386277
4,validacao_2025_pre_pectra,validation,c_sem_taxas_absolutas,7213,7213,2469,11957,0.20648992222129298
5,transicao_pectra_2025,protocol_transition,a_completa,2452,2041,303,4190,0.07231503579952267
5,transicao_pectra_2025,protocol_transition,b_completa,1958,1724,1075,2607,0.4123513617184503
5,transicao_pectra_2025,protocol_transition,c_completa,2306,2257,1303,3260,0.39969325153374236
5,transicao_pectra_2025,protocol_transition,b_sem_taxas_absolutas,1757,1350,1019,2088,0.48802681992337166
5,transicao_pectra_2025,protocol_transition,c_sem_taxas_absolutas,4342,1791,1061,5072,0.20918769716088328
6,teste_final_2025,test,a_completa,51622,39396,5871,85147,0.06895134297156683
6,teste_final_2025,test,b_completa,47525,22259,5017,64767,0.07746228789352602
6,teste_final_2025,test,c_completa,26423,31579,8020,49982,0.1604577647953263
6,teste_final_2025,test,b_sem_taxas_absolutas,8562,4315,1037,11840,0.08758445945945946
6,teste_final_2025,test,c_sem_taxas_absolutas,16091,5935,1672,20354,0.0821460155252039
7,estresse_fusaka_2025,future_stress,a_completa,37332,19309,6070,50571,0.12002926578473828
7,estresse_fusaka_2025,future_stress,b_completa,77088,8913,2448,83553,0.029298768446375356
7,estresse_fusaka_2025,future_stress,c_completa,24130,15242,7541,31831,0.23690741729760298
7,estresse_fusaka_2025,future_stress,b_sem_taxas_absolutas,1522,851,459,1914,0.23981191222570533
7,estresse_fusaka_2025,future_stress,c_sem_taxas_absolutas,3750,1072,655,4167,0.15718742500599953
