split_order,split,role,configuration,matrix,rows,score_min,score_q250,score_median,score_mean,score_q750,score_q950,score_q990,score_q995,score_q999,score_max,score_std
1,estresse_pre_dencun_2024,historical_stress,a_completa,A,832676,0.36937418580055237,0.41523313522338867,0.43990564346313477,0.44791293144226074,0.47268205881118774,0.5286781787872314,0.5852821469306946,0.6047857403755188,0.6341812610626221,0.6935118436813354,0.04321477934718132
2,transicao_dencun_2024,protocol_transition,a_completa,A,244311,0.37338247895240784,0.4160328209400177,0.43598875403404236,0.44470545649528503,0.46377283334732056,0.5211890935897827,0.5947099328041077,0.6082741022109985,0.6314473748207092,0.6940430998802185,0.040561482310295105
3,treino_2024_pos_dencun,train,a_completa,A,3210970,0.3664300739765167,0.40174609422683716,0.42354443669319153,0.433851420879364,0.4542321562767029,0.5236696600914001,0.5860437154769897,0.6035757660865784,0.6318338513374329,0.7135175466537476,0.04410821199417114
4,validacao_2025_pre_pectra,validation,a_completa,A,1442555,0.36741289496421814,0.4231923520565033,0.4564615488052368,0.4642025828361511,0.49788594245910645,0.5650880336761475,0.6086758971214294,0.6230980157852173,0.6465973854064941,0.706307590007782,0.05276703089475632
5,transicao_pectra_2025,protocol_transition,a_completa,A,423759,0.3675583600997925,0.4208521842956543,0.45357760787010193,0.46218210458755493,0.4954783320426941,0.563612163066864,0.6091153025627136,0.6223928928375244,0.647193193435669,0.6944324374198914,0.052871495485305786
6,teste_final_2025,test,a_completa,A,2827717,0.3669997453689575,0.4418047070503235,0.4900551438331604,0.4896586239337921,0.528693675994873,0.5923065543174744,0.6303065419197083,0.6420760750770569,0.6643444299697876,0.72020024061203,0.058317214250564575
7,estresse_fusaka_2025,future_stress,a_completa,A,512462,0.3750368058681488,0.4948814809322357,0.5228955745697021,0.5271966457366943,0.5633756518363953,0.6182435750961304,0.6450400948524475,0.655998170375824,0.6789254546165466,0.7231217622756958,0.05479932203888893
1,estresse_pre_dencun_2024,historical_stress,b_completa,B,832676,0.3924078047275543,0.4340190887451172,0.45395714044570923,0.46037736535072327,0.47873765230178833,0.5284069180488586,0.5755895376205444,0.5932806730270386,0.6224040985107422,0.6505025029182434,0.035419996827840805
2,transicao_dencun_2024,protocol_transition,b_completa,B,244311,0.3960252106189728,0.436517596244812,0.4536180794239044,0.45988738536834717,0.47571176290512085,0.5245081186294556,0.5644916296005249,0.578490138053894,0.6023398637771606,0.6515601277351379,0.032064326107501984
3,treino_2024_pos_dencun,train,b_completa,B,3210970,0.39035192131996155,0.424227774143219,0.44244492053985596,0.4504409432411194,0.46840253472328186,0.5211688876152039,0.5615907907485962,0.571861207485199,0.5923414826393127,0.6617668867111206,0.03487366437911987
4,validacao_2025_pre_pectra,validation,b_completa,B,1442555,0.3914121091365814,0.4429683983325958,0.46665695309638977,0.4706970453262329,0.49137747287750244,0.5446694493293762,0.5865883231163025,0.6005332469940186,0.6205999851226807,0.6471798419952393,0.038079600781202316
5,transicao_pectra_2025,protocol_transition,b_completa,B,423759,0.39187508821487427,0.4424992799758911,0.4656420648097992,0.4705013334751129,0.4907931983470917,0.5459510087966919,0.5809838771820068,0.5949032306671143,0.6370307207107544,0.6734652519226074,0.03802727162837982
6,teste_final_2025,test,b_completa,B,2827717,0.390258252620697,0.4605101943016052,0.4869949519634247,0.48920732736587524,0.5125335454940796,0.560992419719696,0.5960366129875183,0.6082711219787598,0.6340875029563904,0.6785151362419128,0.03937837481498718
7,estresse_fusaka_2025,future_stress,b_completa,B,512462,0.40741175413131714,0.4918304979801178,0.5115070343017578,0.5156379342079163,0.5382289886474609,0.5791431665420532,0.6103422045707703,0.618174135684967,0.6330851912498474,0.6791884303092957,0.035521168261766434
1,estresse_pre_dencun_2024,historical_stress,c_completa,C,832676,0.39088019728660583,0.4326532185077667,0.4527897238731384,0.4594670236110687,0.4783967435359955,0.528826117515564,0.5712450742721558,0.5882474184036255,0.6127409934997559,0.6538971066474915,0.03595595806837082
2,transicao_dencun_2024,protocol_transition,c_completa,C,244311,0.3981090486049652,0.4353267550468445,0.4521270990371704,0.4582007825374603,0.47367337346076965,0.5207446813583374,0.5606643557548523,0.5766850113868713,0.5953956246376038,0.6564483642578125,0.03157857805490494
3,treino_2024_pos_dencun,train,c_completa,C,3210970,0.38885727524757385,0.4215397834777832,0.4397315979003906,0.44720643758773804,0.46450501680374146,0.5163957476615906,0.5542736649513245,0.5660582184791565,0.5889924764633179,0.6652839183807373,0.03419220447540283
