split_order,split,role,configuration,matrix,rows,anomalies_q990,anomaly_rate_q990,anomalies_q995,anomaly_rate_q995,anomalies_q999,anomaly_rate_q999,score_path,score_size_bytes
1,estresse_pre_dencun_2024,historical_stress,a_completa,A,832676,3493,0.004194908944175166,1671,0.0020067829503912686,312,0.0003746955598576157,E:\Mestrado\src\03-machine-learning\03-if\resultados\escores\a_completa\01_estresse_pre_dencun_2024.parquet,6441079
2,transicao_dencun_2024,protocol_transition,a_completa,A,244311,1162,0.004756232834379132,364,0.0014899042613717762,60,0.0002455886145118312,E:\Mestrado\src\03-machine-learning\03-if\resultados\escores\a_completa\02_transicao_dencun_2024.parquet,1897922
3,treino_2024_pos_dencun,train,a_completa,A,3210970,12533,0.003903181904533521,5565,0.0017331211440779577,1108,0.00034506706696107406,E:\Mestrado\src\03-machine-learning\03-if\resultados\escores\a_completa\03_treino_2024_pos_dencun.parquet,24726412
4,validacao_2025_pre_pectra,validation,a_completa,A,1442555,14426,0.010000311946511572,7213,0.005000155973255786,1443,0.0010003084804392206,E:\Mestrado\src\03-machine-learning\03-if\resultados\escores\a_completa\04_validacao_2025_pre_pectra.parquet,11255714
5,transicao_pectra_2025,protocol_transition,a_completa,A,423759,4366,0.010303026012426875,2041,0.004816416878461578,438,0.0010336063658824945,E:\Mestrado\src\03-machine-learning\03-if\resultados\escores\a_completa\05_transicao_pectra_2025.parquet,3307192
6,teste_final_2025,test,a_completa,A,2827717,72866,0.025768490976996638,39396,0.013932087263329392,10168,0.003595833670766912,E:\Mestrado\src\03-machine-learning\03-if\resultados\escores\a_completa\06_teste_final_2025.parquet,22100240
7,estresse_fusaka_2025,future_stress,a_completa,A,512462,45191,0.08818409950396322,19309,0.03767889131291686,4474,0.008730403425034441,E:\Mestrado\src\03-machine-learning\03-if\resultados\escores\a_completa\07_estresse_fusaka_2025.parquet,4023549
1,estresse_pre_dencun_2024,historical_stress,b_completa,B,832676,5513,0.00662082250479178,2966,0.003562009713261821,1036,0.0012441814102964418,E:\Mestrado\src\03-machine-learning\03-if\resultados\escores\b_completa\01_estresse_pre_dencun_2024.parquet,6367154
2,transicao_dencun_2024,protocol_transition,b_completa,B,244311,816,0.0033400051573609047,290,0.0011870116368071842,13,5.321086647756343e-05,E:\Mestrado\src\03-machine-learning\03-if\resultados\escores\b_completa\02_transicao_dencun_2024.parquet,1877613
3,treino_2024_pos_dencun,train,b_completa,B,3210970,5076,0.001580830714706148,1894,0.0005898529104912223,627,0.00019526809655649228,E:\Mestrado\src\03-machine-learning\03-if\resultados\escores\b_completa\03_treino_2024_pos_dencun.parquet,24492087
4,validacao_2025_pre_pectra,validation,b_completa,B,1442555,14427,0.01000100516098173,7214,0.005000849187725945,1444,0.0010010016949093794,E:\Mestrado\src\03-machine-learning\03-if\resultados\escores\b_completa\04_validacao_2025_pre_pectra.parquet,11103027
5,transicao_pectra_2025,protocol_transition,b_completa,B,423759,3178,0.007499545732362027,1724,0.004068350170733837,1164,0.002746844314811013,E:\Mestrado\src\03-machine-learning\03-if\resultados\escores\b_completa\05_transicao_pectra_2025.parquet,3255904
6,teste_final_2025,test,b_completa,B,2827717,43309,0.01531588910771481,22259,0.007871721250747511,6181,0.0021858623051741032,E:\Mestrado\src\03-machine-learning\03-if\resultados\escores\b_completa\06_teste_final_2025.parquet,21758341
7,estresse_fusaka_2025,future_stress,b_completa,B,512462,18184,0.035483606589366626,8913,0.017392509103113987,1953,0.0038110142800832063,E:\Mestrado\src\03-machine-learning\03-if\resultados\escores\b_completa\07_estresse_fusaka_2025.parquet,3948390
