split_order,split,role,configuration,is_type_4,rows,anomalies_q995,anomaly_rate_q995,score_mean,score_median,score_q995
1,estresse_pre_dencun_2024,historical_stress,a_completa,0,832676,1671,0.0020067829503912686,0.44791292407650485,0.43990564346313477,0.6047857403755188
2,transicao_dencun_2024,protocol_transition,a_completa,0,244311,364,0.0014899042613717762,0.44470546334987654,0.43598875403404236,0.6082741022109985
3,treino_2024_pos_dencun,train,a_completa,0,3210970,5565,0.0017331211440779577,0.4338514227111798,0.42354443669319153,0.6035757660865784
4,validacao_2025_pre_pectra,validation,a_completa,0,1442555,7213,0.005000155973255786,0.464202571854068,0.4564615488052368,0.6230980157852173
5,transicao_pectra_2025,protocol_transition,a_completa,0,423010,1992,0.004709108531713199,0.4620854952879762,0.453529417514801,0.6219139695167542
5,transicao_pectra_2025,protocol_transition,a_completa,1,749,49,0.06542056074766354,0.5167433613132889,0.5424955487251282,0.6359660029411316
6,teste_final_2025,test,a_completa,0,2814119,38897,0.013822087836370815,0.4895317840618084,0.48990148305892944,0.6418796181678772
6,teste_final_2025,test,a_completa,1,13598,499,0.03669657302544492,0.5159078018531885,0.505979061126709,0.669262170791626
7,estresse_fusaka_2025,future_stress,a_completa,0,509267,19125,0.037553974634131015,0.5270610181994679,0.5228639841079712,0.6558354496955872
7,estresse_fusaka_2025,future_stress,a_completa,1,3195,184,0.057589984350547734,0.548818525060988,0.5324414968490601,0.6739149689674377
1,estresse_pre_dencun_2024,historical_stress,b_completa,0,832676,2966,0.003562009713261821,0.4603773905145654,0.45395714044570923,0.5932806730270386
2,transicao_dencun_2024,protocol_transition,b_completa,0,244311,290,0.0011870116368071842,0.4598873936866389,0.4536180794239044,0.578490138053894
3,treino_2024_pos_dencun,train,b_completa,0,3210970,1894,0.0005898529104912223,0.450440940563888,0.44244492053985596,0.571861207485199
4,validacao_2025_pre_pectra,validation,b_completa,0,1442555,7214,0.005000849187725945,0.4706970400576931,0.46665695309638977,0.6005332469940186
5,transicao_pectra_2025,protocol_transition,b_completa,0,423010,1722,0.004070825748800265,0.47044771634665244,0.46560776233673096,0.5949032306671143
5,transicao_pectra_2025,protocol_transition,b_completa,1,749,2,0.0026702269692923898,0.5007628969579577,0.5159144997596741,0.5890120267868042
6,teste_final_2025,test,b_completa,0,2814119,21803,0.0077477178470420046,0.4891425172690734,0.4869629740715027,0.6079943180084229
