token_address,reference_block,symbol,name,decimals,metadata_status,provider_host
0x046eee2cc3188071c02bfc1745a6b17c656e3f3d,23959400,RLB,Rollbit Coin,18,complete,eth-mainnet.g.alchemy.com
0x0492560fa7cfd6a85e50d8be3f77318994f8f429,24010700,fwUSDC,Few Wrapped USD Coin,6,complete,eth-mainnet.g.alchemy.com
0x081599e4936d12c46bd48913b2329115cd26cbdd,24072800,AUDM,Macropod Stablecoin,18,complete,eth-mainnet.g.alchemy.com
0x0a6e7ba5042b38349e437ec6db6214aec7b35676,24071800,SWELL,Swell Governance Token,18,complete,eth-mainnet.g.alchemy.com
0x0ab87046fbb341d058f17cbc4c1133f25a20a52f,23946000,gOHM,Governance OHM,18,complete,eth-mainnet.g.alchemy.com
0x10633216e7e8281e33c86f02bf8e565a635d9770,24116200,DVI,Dvision,18,complete,eth-mainnet.g.alchemy.com
0x112b08621e27e10773ec95d250604a041f36c582,24095300,KAS,Kaspa,8,complete,eth-mainnet.g.alchemy.com
0x1217bfe6c773eec6cc4a38b5dc45b92292b6e189,24125200,oUSDT,OpenUSDT,6,complete,eth-mainnet.g.alchemy.com
0x124c85c8d88293b9f45e6816381d293ab4ac8888,24001100,DOGX,DOGX,18,complete,eth-mainnet.g.alchemy.com
0x1487bd704fa05a222b0adb50dc420f001f003045,24024400,CCDAO,Cross-Chain DAO,18,complete,eth-mainnet.g.alchemy.com
0x18efe565a5373f430e2f809b97de30335b3ad96a,24075300,aEthLidoGHO,Aave Ethereum Lido GHO,18,complete,eth-mainnet.g.alchemy.com
0x199fe9826a45dbea191498f23f791c18c67b94e3,23926000,fwNEAR,Few Wrapped NEAR,24,complete,eth-mainnet.g.alchemy.com
0x1f573d6fb3f13d689ff844b4ce37794d79a7ff1c,24001900,BNT,Bancor Network Token,18,complete,eth-mainnet.g.alchemy.com
0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,23926000,WBTC,Wrapped BTC,8,complete,eth-mainnet.g.alchemy.com
0x23878914efe38d27c4d67ab83ed1b93a74d4086a,24075300,aEthUSDT,Aave Ethereum USDT,6,complete,eth-mainnet.g.alchemy.com
0x27702a26126e0b3702af63ee09ac4d1a084ef628,23994600,ALEPH,aleph.im v2,18,complete,eth-mainnet.g.alchemy.com
0x2a3bff78b79a009976eea096a51a948a3dc00e34,23919000,WILD,Wilder,18,complete,eth-mainnet.g.alchemy.com
0x2ba81493369753c05d27f77889dfc0c37004920b,24085400,BEPE,BEPE,9,complete,eth-mainnet.g.alchemy.com
