audit_id,detection_event_id,detector,saved_label,recomputed_label,validation_result,issues
semantic__displacement__1955,1955,displacement,confirmado,confirmado,valid,
semantic__displacement__6571,6571,displacement,confirmado,confirmado,valid,
semantic__displacement__7450,7450,displacement,confirmado,confirmado,valid,
semantic__insertion__60,60,insertion,confirmado,confirmado,valid,
semantic__insertion__274,274,insertion,confirmado,confirmado,valid,
semantic__insertion__350,350,insertion,confirmado,confirmado,valid,
semantic__insertion__441,441,insertion,confirmado,confirmado,valid,
semantic__insertion__565,565,insertion,confirmado,confirmado,valid,
semantic__insertion__655,655,insertion,confirmado,confirmado,valid,
semantic__insertion__772,772,insertion,confirmado,confirmado,valid,
semantic__insertion__1162,1162,insertion,confirmado,confirmado,valid,
semantic__insertion__1225,1225,insertion,confirmado,confirmado,valid,
semantic__insertion__1368,1368,insertion,confirmado,confirmado,valid,
semantic__insertion__1418,1418,insertion,confirmado,confirmado,valid,
semantic__insertion__1652,1652,insertion,confirmado,confirmado,valid,
semantic__insertion__1804,1804,insertion,confirmado,confirmado,valid,
semantic__insertion__1965,1965,insertion,confirmado,confirmado,valid,
semantic__insertion__2276,2276,insertion,confirmado,confirmado,valid,
semantic__insertion__2559,2559,insertion,confirmado,confirmado,valid,
semantic__insertion__2562,2562,insertion,confirmado,confirmado,valid,
semantic__insertion__2666,2666,insertion,confirmado,confirmado,valid,
semantic__insertion__2809,2809,insertion,confirmado,confirmado,valid,
semantic__insertion__2851,2851,insertion,confirmado,confirmado,valid,
semantic__insertion__2882,2882,insertion,confirmado,confirmado,valid,
semantic__insertion__2962,2962,insertion,confirmado,confirmado,valid,
semantic__insertion__3104,3104,insertion,confirmado,confirmado,valid,
semantic__insertion__3128,3128,insertion,confirmado,confirmado,valid,
semantic__insertion__3307,3307,insertion,confirmado,confirmado,valid,
semantic__insertion__3365,3365,insertion,confirmado,confirmado,valid,
semantic__insertion__3398,3398,insertion,confirmado,confirmado,valid,
semantic__insertion__3455,3455,insertion,confirmado,confirmado,valid,
semantic__insertion__3516,3516,insertion,confirmado,confirmado,valid,
semantic__insertion__3529,3529,insertion,confirmado,confirmado,valid,
semantic__insertion__3544,3544,insertion,confirmado,confirmado,valid,
semantic__insertion__3663,3663,insertion,confirmado,confirmado,valid,
semantic__insertion__3668,3668,insertion,confirmado,confirmado,valid,
semantic__insertion__3889,3889,insertion,confirmado,confirmado,valid,
semantic__insertion__3945,3945,insertion,confirmado,confirmado,valid,
semantic__insertion__4143,4143,insertion,confirmado,confirmado,valid,
