token_address,reference_block,symbol,name,decimals,metadata_status,provider_host
0x0001a500a6b18995b03f44bb040a5ffc28e45cb0,19400200,OLAS,Autonolas,18,complete,eth-mainnet.g.alchemy.com
0x003d6ba68afc179da57b723b7c1d47be9f4eaa36,19072100,UNIW,UniWhale,18,complete,eth-mainnet.g.alchemy.com
0x014337b35167b3711195361bb85259009e50a8a4,19269800,DNODE,DecentraNode,9,complete,eth-mainnet.g.alchemy.com
0x02c603304810439ad8abb972263f170701f11cb3,19046100,ED,Retarded,18,complete,eth-mainnet.g.alchemy.com
0x037a54aab062628c9bbae1fdb1583c195585fe41,19129100,LCX,LCX,18,complete,eth-mainnet.g.alchemy.com
0x054d64b73d3d8a21af3d764efd76bcaa774f3bb2,19100300,PPAY,Plasma,18,complete,eth-mainnet.g.alchemy.com
0x05d3606d5c81eb9b7b18530995ec9b29da05faba,19094800,TOMOE,TomoChain,18,complete,eth-mainnet.g.alchemy.com
0x06450dee7fd2fb8e39061434babcfc05599a6fb8,19150000,XEN,XEN Crypto,18,complete,eth-mainnet.g.alchemy.com
0x06dbe2e73f518b9a4a334defac9a931e0920945f,19250800,MEVAI,MEV AI Bot,18,complete,eth-mainnet.g.alchemy.com
0x091bd97c23629494d5711cb49195314203f28663,19173400,.pdf,A PDF Document,18,complete,eth-mainnet.g.alchemy.com
0x0a3c0e2ecb276552ec3448dfa6f315336cdf34de,19250000,RUBY,Rubies404,18,complete,eth-mainnet.g.alchemy.com
0x0ae64fa099352a1f4623fcd1864c1af2750d789d,19330300,MAGIC,Magic School Bus,18,complete,eth-mainnet.g.alchemy.com
0x102c776ddb30c754ded4fdcc77a19230a60d4e4f,18958200,FLC,Flooring Lab Credit,18,complete,eth-mainnet.g.alchemy.com
0x1064124c981c50fce8d68bfe667f1deca7142d25,19006000,DieHarder,DieHarder,9,complete,eth-mainnet.g.alchemy.com
0x1294f4183763743c7c9519bec51773fb3acd78fd,19250500,FI,Fideum,18,complete,eth-mainnet.g.alchemy.com
0x12970e6868f88f6557b76120662c1b3e50a646bf,19403800,LADYS,Milady,18,complete,eth-mainnet.g.alchemy.com
0x12ef10a4fc6e1ea44b4ca9508760ff51c647bb71,19041200,RSTK,Restake Finance,18,complete,eth-mainnet.g.alchemy.com
0x15e6e0d4ebeac120f9a97e71faa6a0235b85ed12,19337900,SAVM,SatoshiVM,18,complete,eth-mainnet.g.alchemy.com
0x168e209d7b2f58f1f24b8ae7b7d35e662bbf11cc,19407300,LAI,LayerAI Token,18,complete,eth-mainnet.g.alchemy.com
