audit_id,detection_event_id,detector,saved_label,recomputed_label,validation_result,issues
semantic__displacement__2217,2217,displacement,confirmado,confirmado,valid,
semantic__displacement__2224,2224,displacement,confirmado,confirmado,valid,
semantic__displacement__2283,2283,displacement,confirmado,confirmado,valid,
semantic__displacement__2333,2333,displacement,confirmado,confirmado,valid,
semantic__displacement__2342,2342,displacement,confirmado,confirmado,valid,
semantic__displacement__2365,2365,displacement,confirmado,confirmado,valid,
semantic__displacement__2390,2390,displacement,confirmado,confirmado,valid,
semantic__displacement__2398,2398,displacement,confirmado,confirmado,valid,
semantic__displacement__2428,2428,displacement,confirmado,confirmado,valid,
semantic__displacement__3206,3206,displacement,confirmado,confirmado,valid,
semantic__displacement__3396,3396,displacement,confirmado,confirmado,valid,
semantic__displacement__4333,4333,displacement,confirmado,confirmado,valid,
semantic__displacement__5944,5944,displacement,confirmado,confirmado,valid,
semantic__displacement__5946,5946,displacement,confirmado,confirmado,valid,
semantic__displacement__6223,6223,displacement,confirmado,confirmado,valid,
semantic__displacement__6287,6287,displacement,confirmado,confirmado,valid,
semantic__displacement__6601,6601,displacement,confirmado,confirmado,valid,
semantic__displacement__7277,7277,displacement,confirmado,confirmado,valid,
semantic__displacement__7778,7778,displacement,confirmado,confirmado,valid,
semantic__displacement__7783,7783,displacement,confirmado,confirmado,valid,
semantic__displacement__7831,7831,displacement,confirmado,confirmado,valid,
semantic__insertion__17,17,insertion,confirmado,confirmado,valid,
semantic__insertion__70,70,insertion,confirmado,confirmado,valid,
semantic__insertion__150,150,insertion,confirmado,confirmado,valid,
semantic__insertion__159,159,insertion,confirmado,confirmado,valid,
semantic__insertion__177,177,insertion,confirmado,confirmado,valid,
semantic__insertion__244,244,insertion,confirmado,confirmado,valid,
semantic__insertion__360,360,insertion,confirmado,confirmado,valid,
semantic__insertion__389,389,insertion,confirmado,confirmado,valid,
semantic__insertion__565,565,insertion,confirmado,confirmado,valid,
semantic__insertion__578,578,insertion,confirmado,confirmado,valid,
semantic__insertion__652,652,insertion,confirmado,confirmado,valid,
semantic__insertion__715,715,insertion,confirmado,confirmado,valid,
semantic__insertion__742,742,insertion,confirmado,confirmado,valid,
semantic__insertion__832,832,insertion,confirmado,confirmado,valid,
semantic__insertion__862,862,insertion,confirmado,confirmado,valid,
semantic__insertion__1083,1083,insertion,confirmado,confirmado,valid,
semantic__insertion__1292,1292,insertion,confirmado,confirmado,valid,
semantic__insertion__2553,2553,insertion,confirmado,confirmado,valid,
semantic__insertion__2565,2565,insertion,confirmado,confirmado,valid,
semantic__insertion__2630,2630,insertion,confirmado,confirmado,valid,
semantic__insertion__2677,2677,insertion,confirmado,confirmado,valid,
semantic__insertion__2711,2711,insertion,confirmado,confirmado,valid,
semantic__insertion__2720,2720,insertion,confirmado,confirmado,valid,
semantic__insertion__2721,2721,insertion,confirmado,confirmado,valid,
semantic__insertion__2739,2739,insertion,confirmado,confirmado,valid,
semantic__insertion__2992,2992,insertion,confirmado,confirmado,valid,
semantic__insertion__3066,3066,insertion,confirmado,confirmado,valid,
semantic__insertion__3069,3069,insertion,confirmado,confirmado,valid,
semantic__insertion__3076,3076,insertion,confirmado,confirmado,valid,
semantic__insertion__3374,3374,insertion,confirmado,confirmado,valid,
semantic__insertion__3405,3405,insertion,confirmado,confirmado,valid,
semantic__insertion__3479,3479,insertion,confirmado,confirmado,valid,
semantic__insertion__3528,3528,insertion,confirmado,confirmado,valid,
semantic__insertion__3550,3550,insertion,confirmado,confirmado,valid,
semantic__insertion__3941,3941,insertion,confirmado,confirmado,valid,
semantic__insertion__4023,4023,insertion,confirmado,confirmado,valid,
semantic__insertion__4076,4076,insertion,confirmado,confirmado,valid,
semantic__insertion__4293,4293,insertion,confirmado,confirmado,valid,
semantic__insertion__4457,4457,insertion,confirmado,confirmado,valid,
semantic__insertion__4491,4491,insertion,confirmado,confirmado,valid,
semantic__insertion__4581,4581,insertion,confirmado,confirmado,valid,
semantic__insertion__4838,4838,insertion,confirmado,confirmado,valid,
semantic__insertion__5163,5163,insertion,confirmado,confirmado,valid,
semantic__insertion__5166,5166,insertion,confirmado,confirmado,valid,
semantic__insertion__5170,5170,insertion,confirmado,confirmado,valid,
semantic__insertion__5381,5381,insertion,confirmado,confirmado,valid,
semantic__insertion__5620,5620,insertion,confirmado,confirmado,valid,
semantic__insertion__6031,6031,insertion,confirmado,confirmado,valid,
semantic__insertion__6299,6299,insertion,confirmado,confirmado,valid,
semantic__insertion__6373,6373,insertion,confirmado,confirmado,valid,
semantic__insertion__6407,6407,insertion,confirmado,confirmado,valid,
semantic__insertion__6418,6418,insertion,confirmado,confirmado,valid,
semantic__insertion__6752,6752,insertion,confirmado,confirmado,valid,
semantic__insertion__7106,7106,insertion,confirmado,confirmado,valid,
semantic__insertion__7140,7140,insertion,confirmado,confirmado,valid,
semantic__insertion__7195,7195,insertion,confirmado,confirmado,valid,
semantic__insertion__7204,7204,insertion,confirmado,confirmado,valid,
semantic__insertion__7251,7251,insertion,confirmado,confirmado,valid,
semantic__insertion__7295,7295,insertion,confirmado,confirmado,valid,
semantic__insertion__7375,7375,insertion,confirmado,confirmado,valid,
semantic__insertion__7394,7394,insertion,confirmado,confirmado,valid,
semantic__insertion__7460,7460,insertion,confirmado,confirmado,valid,
semantic__insertion__7670,7670,insertion,confirmado,confirmado,valid,
semantic__insertion__7867,7867,insertion,confirmado,confirmado,valid,
semantic__insertion__7869,7869,insertion,confirmado,confirmado,valid,
semantic__insertion__8045,8045,insertion,confirmado,confirmado,valid,
semantic__insertion__8168,8168,insertion,confirmado,confirmado,valid,
semantic__insertion__8204,8204,insertion,confirmado,confirmado,valid,
semantic__insertion__8273,8273,insertion,confirmado,confirmado,valid,
semantic__insertion__8277,8277,insertion,confirmado,confirmado,valid,
semantic__insertion__8839,8839,insertion,confirmado,confirmado,valid,
semantic__insertion__8885,8885,insertion,confirmado,confirmado,valid,
semantic__insertion__8891,8891,insertion,confirmado,confirmado,valid,
semantic__insertion__9043,9043,insertion,confirmado,confirmado,valid,
semantic__insertion__9124,9124,insertion,confirmado,confirmado,valid,
semantic__insertion__9218,9218,insertion,confirmado,confirmado,valid,
semantic__insertion__9249,9249,insertion,confirmado,confirmado,valid,
semantic__insertion__9370,9370,insertion,confirmado,confirmado,valid,
semantic__insertion__9420,9420,insertion,confirmado,confirmado,valid,
semantic__insertion__9511,9511,insertion,confirmado,confirmado,valid,
semantic__insertion__8,8,insertion,confirmado,confirmado,valid,
semantic__insertion__243,243,insertion,confirmado,confirmado,valid,
semantic__insertion__251,251,insertion,confirmado,confirmado,valid,
semantic__insertion__281,281,insertion,confirmado,confirmado,valid,
semantic__insertion__352,352,insertion,confirmado,confirmado,valid,
semantic__insertion__550,550,insertion,confirmado,confirmado,valid,
semantic__insertion__579,579,insertion,confirmado,confirmado,valid,
semantic__insertion__890,890,insertion,confirmado,confirmado,valid,
semantic__insertion__1327,1327,insertion,confirmado,confirmado,valid,
semantic__insertion__1681,1681,insertion,confirmado,confirmado,valid,
semantic__insertion__1819,1819,insertion,confirmado,confirmado,valid,
semantic__insertion__1871,1871,insertion,confirmado,confirmado,valid,
semantic__insertion__1910,1910,insertion,confirmado,confirmado,valid,
semantic__insertion__1927,1927,insertion,confirmado,confirmado,valid,
semantic__insertion__1954,1954,insertion,confirmado,confirmado,valid,
semantic__insertion__2675,2675,insertion,confirmado,confirmado,valid,
semantic__insertion__2881,2881,insertion,confirmado,confirmado,valid,
semantic__insertion__3027,3027,insertion,confirmado,confirmado,valid,
semantic__insertion__3104,3104,insertion,confirmado,confirmado,valid,
semantic__insertion__3284,3284,insertion,confirmado,confirmado,valid,
semantic__insertion__3345,3345,insertion,confirmado,confirmado,valid,
semantic__insertion__3386,3386,insertion,confirmado,confirmado,valid,
semantic__insertion__3446,3446,insertion,confirmado,confirmado,valid,
semantic__insertion__3557,3557,insertion,confirmado,confirmado,valid,
semantic__insertion__3627,3627,insertion,confirmado,confirmado,valid,
semantic__insertion__4292,4292,insertion,confirmado,confirmado,valid,
semantic__insertion__4872,4872,insertion,confirmado,confirmado,valid,
semantic__insertion__5117,5117,insertion,confirmado,confirmado,valid,
semantic__insertion__5159,5159,insertion,confirmado,confirmado,valid,
semantic__insertion__5209,5209,insertion,confirmado,confirmado,valid,
semantic__insertion__5865,5865,insertion,confirmado,confirmado,valid,
semantic__insertion__5937,5937,insertion,confirmado,confirmado,valid,
semantic__insertion__6395,6395,insertion,confirmado,confirmado,valid,
semantic__insertion__6541,6541,insertion,confirmado,confirmado,valid,
semantic__insertion__6548,6548,insertion,confirmado,confirmado,valid,
semantic__insertion__7929,7929,insertion,confirmado,confirmado,valid,
semantic__insertion__8089,8089,insertion,confirmado,confirmado,valid,
semantic__insertion__8230,8230,insertion,confirmado,confirmado,valid,
