detection_event_id,detector,validation_status,attacker_address,attacker_executor_address,transaction_hash,transaction_role,block_number,token_address,from_address,to_address,amount_raw,log_index,attacker_entity_delta_raw,is_weth
5,insertion,confirmed,0x5201ca9898c30fcd3f1e4fd832188ce25ffd2a24,0xbadc0de76438f9524d42c219b390636196bfbdfc,0x649cdde5e6f40a60747b693b1c04ef08a926ef43e58dce9a2792e05f7e842562,attacker_back,22606800,0x3593d125a4f7849a1b059e64f4517a86dd60c95d,0xbadc0de76438f9524d42c219b390636196bfbdfc,0xe46935ae80e05cdebd4a4008b6ccaa36d2845370,46315307836684794300425,26,-46315307836684794300425,false
5,insertion,confirmed,0x5201ca9898c30fcd3f1e4fd832188ce25ffd2a24,0xbadc0de76438f9524d42c219b390636196bfbdfc,0x649cdde5e6f40a60747b693b1c04ef08a926ef43e58dce9a2792e05f7e842562,attacker_back,22606800,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xe46935ae80e05cdebd4a4008b6ccaa36d2845370,0xbadc0de76438f9524d42c219b390636196bfbdfc,6150451218184370440,28,6150451218184370440,true
5,insertion,confirmed,0x5201ca9898c30fcd3f1e4fd832188ce25ffd2a24,0xbadc0de76438f9524d42c219b390636196bfbdfc,0xd12b77cb4c62c51951bfba4ffd23a1a5845153145e1720c1d1a92d0dc1b051b2,attacker_front,22606800,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xbadc0de76438f9524d42c219b390636196bfbdfc,0xe46935ae80e05cdebd4a4008b6ccaa36d2845370,5879035752394556000,8,-5879035752394556000,true
5,insertion,confirmed,0x5201ca9898c30fcd3f1e4fd832188ce25ffd2a24,0xbadc0de76438f9524d42c219b390636196bfbdfc,0xd12b77cb4c62c51951bfba4ffd23a1a5845153145e1720c1d1a92d0dc1b051b2,attacker_front,22606800,0x3593d125a4f7849a1b059e64f4517a86dd60c95d,0xe46935ae80e05cdebd4a4008b6ccaa36d2845370,0xbadc0de76438f9524d42c219b390636196bfbdfc,46315307836684794300426,9,46315307836684794300426,false
15,insertion,confirmed,0x00000000000947821264914ad2c75f871aa2d026,0xe44a2179edab1e638eac86079fe4ed850ca77b6c,0x059569e908748bbe1e9b1b9215935b52d103f1e09f3a81e47536bfc08691f7d3,attacker_back,22607600,0xa29c9a740de8194e4016747e9a04a84946ada0a5,0xe44a2179edab1e638eac86079fe4ed850ca77b6c,0x3e2e243c55914de3f8a0e29cde30902465f02e3d,6218822325967021446832,243,-6218822325967021446832,false
15,insertion,confirmed,0x00000000000947821264914ad2c75f871aa2d026,0xe44a2179edab1e638eac86079fe4ed850ca77b6c,0x059569e908748bbe1e9b1b9215935b52d103f1e09f3a81e47536bfc08691f7d3,attacker_back,22607600,0xdac17f958d2ee523a2206206994597c13d831ec7,0x3e2e243c55914de3f8a0e29cde30902465f02e3d,0xe44a2179edab1e638eac86079fe4ed850ca77b6c,435673211,244,435673211,false
15,insertion,confirmed,0x00000000000947821264914ad2c75f871aa2d026,0xe44a2179edab1e638eac86079fe4ed850ca77b6c,0x4bfd42db46073349e93442753f1cef870f102db763578ebf2b2fe1e8c6444de5,attacker_front,22607600,0xdac17f958d2ee523a2206206994597c13d831ec7,0xe44a2179edab1e638eac86079fe4ed850ca77b6c,0x3e2e243c55914de3f8a0e29cde30902465f02e3d,434675162,193,-434675162,false
15,insertion,confirmed,0x00000000000947821264914ad2c75f871aa2d026,0xe44a2179edab1e638eac86079fe4ed850ca77b6c,0x4bfd42db46073349e93442753f1cef870f102db763578ebf2b2fe1e8c6444de5,attacker_front,22607600,0xa29c9a740de8194e4016747e9a04a84946ada0a5,0x3e2e243c55914de3f8a0e29cde30902465f02e3d,0xe44a2179edab1e638eac86079fe4ed850ca77b6c,6218822325967021446833,194,6218822325967021446833,false
15,insertion,confirmed,0x00000000000947821264914ad2c75f871aa2d026,0xe44a2179edab1e638eac86079fe4ed850ca77b6c,0x4bfd42db46073349e93442753f1cef870f102db763578ebf2b2fe1e8c6444de5,attacker_front,22607600,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xf6dcdce0ac3001b2f67f750bc64ea5beb37b5824,0xe44a2179edab1e638eac86079fe4ed850ca77b6c,9179345,197,9179345,false
15,insertion,confirmed,0x00000000000947821264914ad2c75f871aa2d026,0xe44a2179edab1e638eac86079fe4ed850ca77b6c,0x4bfd42db46073349e93442753f1cef870f102db763578ebf2b2fe1e8c6444de5,attacker_front,22607600,0x347a96a5bd06d2e15199b032f46fb724d6c73047,0x25c0edc51909fc20429c6ece9b8f4fbb5af13878,0xe44a2179edab1e638eac86079fe4ed850ca77b6c,137983036278776,198,137983036278776,false
15,insertion,confirmed,0x00000000000947821264914ad2c75f871aa2d026,0xe44a2179edab1e638eac86079fe4ed850ca77b6c,0x4bfd42db46073349e93442753f1cef870f102db763578ebf2b2fe1e8c6444de5,attacker_front,22607600,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xe44a2179edab1e638eac86079fe4ed850ca77b6c,0x25c0edc51909fc20429c6ece9b8f4fbb5af13878,8619567,199,-8619567,false
15,insertion,confirmed,0x00000000000947821264914ad2c75f871aa2d026,0xe44a2179edab1e638eac86079fe4ed850ca77b6c,0x4bfd42db46073349e93442753f1cef870f102db763578ebf2b2fe1e8c6444de5,attacker_front,22607600,0x488db574c77dd27a07f9c97bac673bc8e9fc6bf3,0xe8156d7d1af43873c776ddf5df55fdf3297da9e8,0xe44a2179edab1e638eac86079fe4ed850ca77b6c,472949901519274,201,472949901519274,false
