token_address,reference_block,symbol,name,decimals,metadata_status,provider_host
0x0000000000085d4780b73119b644ae5ecd22b376,23618100,TUSD,TrueUSD,18,complete,eth-mainnet.g.alchemy.com
0x00869e8e2e0343edd11314e6ccb0d78d51547ee5,22917500,SUPERGROK,SuperGrok,18,complete,eth-mainnet.g.alchemy.com
0x01791f726b4103694969820be083196cc7c045ff,23643400,YB,Yield Basis,18,complete,eth-mainnet.g.alchemy.com
0x0258f474786ddfd37abce6df6bbb1dd5dfc4434a,22745400,ORN,Orion Protocol,8,complete,eth-mainnet.g.alchemy.com
0x02e7f808990638e9e67e1f00313037ede2362361,23721800,KIBSHI,KiboShib,18,complete,eth-mainnet.g.alchemy.com
0x04018dead4886ac9d171fccd81b717506f4afd89,22640000,KILLBILL,KILL BILL,9,complete,eth-mainnet.g.alchemy.com
0x046eee2cc3188071c02bfc1745a6b17c656e3f3d,23046300,RLB,Rollbit Coin,18,complete,eth-mainnet.g.alchemy.com
0x0492560fa7cfd6a85e50d8be3f77318994f8f429,23684900,fwUSDC,Few Wrapped USD Coin,6,complete,eth-mainnet.g.alchemy.com
0x04fa0d235c4abf4bcf4787af4cf447de572ef828,23215600,UMA,UMA Voting Token v1,18,complete,eth-mainnet.g.alchemy.com
0x05d3606d5c81eb9b7b18530995ec9b29da05faba,22644700,TOMOE,TomoChain,18,complete,eth-mainnet.g.alchemy.com
0x067381e527e8d6ddf2dcd4d18eceb8e0b1aaec5d,22773100,Son Of Kabosu,MOMO,9,complete,eth-mainnet.g.alchemy.com
0x07f9702ce093db82dfdc92c2c6e578d6ea8d5e22,23181100,OBT,Oobit,18,complete,eth-mainnet.g.alchemy.com
0x08a1c30bbb26425c1031ee9e43fa0b9960742539,23243000,LNDX,LandX Governance Token,6,complete,eth-mainnet.g.alchemy.com
0x08ad83d779bdf2bbe1ad9cc0f78aa0d24ab97802,22805300,RWS,Robonomics Web Services :: V1,18,complete,eth-mainnet.g.alchemy.com
0x09395a2a58db45db0da254c7eaa5ac469d8bdc85,23628200,SQT,SubQueryToken,18,complete,eth-mainnet.g.alchemy.com
0x09eb80e7c9ccc4a677b3cb86a4ae14516e0279da,23857800,$BULLYXL, BULLY XL ,18,complete,eth-mainnet.g.alchemy.com
0x0ab87046fbb341d058f17cbc4c1133f25a20a52f,23684900,gOHM,Governance OHM,18,complete,eth-mainnet.g.alchemy.com
0x0b2fa18342d38909e3e44d7103cf3f37b0a0403a,22941100,TANUKI,Tanuki,9,complete,eth-mainnet.g.alchemy.com
0x0b61c4f33bcdef83359ab97673cb5961c6435f4e,23212200,EARN,HOLD,18,complete,eth-mainnet.g.alchemy.com
0x0bb217e40f8a5cb79adf04e1aab60e5abd0dfc1e,23121700,,SwftCoin,8,partial,eth-mainnet.g.alchemy.com
0x0bc37bea9068a86c221b8bd71ea6228260dad5a2,22915600,SPARKLET,Upland,18,complete,eth-mainnet.g.alchemy.com
0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e,22607600,YFI,yearn.finance,18,complete,eth-mainnet.g.alchemy.com
0x0c91bca95b5fe69164ce583a2ec9429a569798ed,23479600,variableDebtEthcbETH,Aave Ethereum Variable Debt cbETH,18,complete,eth-mainnet.g.alchemy.com
