audit_id,detection_event_id,detector,saved_label,recomputed_label,validation_result,issues
semantic__displacement__2389,2389,displacement,confirmado,confirmado,valid,
semantic__displacement__2399,2399,displacement,confirmado,confirmado,valid,
semantic__displacement__4109,4109,displacement,confirmado,confirmado,valid,
semantic__displacement__4189,4189,displacement,confirmado,confirmado,valid,
semantic__displacement__5526,5526,displacement,confirmado,confirmado,valid,
semantic__displacement__6248,6248,displacement,confirmado,confirmado,valid,
semantic__displacement__6291,6291,displacement,confirmado,confirmado,valid,
semantic__displacement__6325,6325,displacement,confirmado,confirmado,valid,
semantic__displacement__7031,7031,displacement,confirmado,confirmado,valid,
semantic__displacement__8233,8233,displacement,confirmado,confirmado,valid,
semantic__displacement__9052,9052,displacement,confirmado,confirmado,valid,
semantic__displacement__10070,10070,displacement,confirmado,confirmado,valid,
semantic__displacement__13067,13067,displacement,confirmado,confirmado,valid,
semantic__displacement__13362,13362,displacement,confirmado,confirmado,valid,
semantic__displacement__14232,14232,displacement,confirmado,confirmado,valid,
semantic__displacement__20809,20809,displacement,confirmado,confirmado,valid,
semantic__displacement__21114,21114,displacement,confirmado,confirmado,valid,
semantic__displacement__23193,23193,displacement,confirmado,confirmado,valid,
semantic__displacement__26293,26293,displacement,confirmado,confirmado,valid,
semantic__displacement__28904,28904,displacement,confirmado,confirmado,valid,
semantic__displacement__29935,29935,displacement,confirmado,confirmado,valid,
semantic__displacement__30943,30943,displacement,confirmado,confirmado,valid,
semantic__displacement__32049,32049,displacement,confirmado,confirmado,valid,
semantic__displacement__32070,32070,displacement,confirmado,confirmado,valid,
semantic__displacement__32742,32742,displacement,confirmado,confirmado,valid,
semantic__insertion__5,5,insertion,confirmado,confirmado,valid,
semantic__insertion__15,15,insertion,confirmado,confirmado,valid,
semantic__insertion__67,67,insertion,confirmado,confirmado,valid,
semantic__insertion__161,161,insertion,confirmado,confirmado,valid,
semantic__insertion__326,326,insertion,confirmado,confirmado,valid,
semantic__insertion__424,424,insertion,confirmado,confirmado,valid,
semantic__insertion__620,620,insertion,confirmado,confirmado,valid,
semantic__insertion__628,628,insertion,confirmado,confirmado,valid,
semantic__insertion__998,998,insertion,confirmado,confirmado,valid,
