detection_event_id,detector,validation_status,attacker_address,attacker_executor_address,transaction_hash,transaction_role,block_number,token_address,from_address,to_address,amount_raw,log_index,attacker_entity_delta_raw,is_weth
38,insertion,confirmed,0xae2fc483527b8ef99eb5d9b44875f005ba1fae13,0x6b75d8af000000e20b7a7ddf000ba900b4009a80,0x2c828119d390faf2162b3fa4b2d2da2e0e1c795810f6539311c88efacfa235dd,attacker_back,19423900,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,0x6b75d8af000000e20b7a7ddf000ba900b4009a80,1117268910448,38,1117268910448,false
38,insertion,confirmed,0xae2fc483527b8ef99eb5d9b44875f005ba1fae13,0x6b75d8af000000e20b7a7ddf000ba900b4009a80,0x2c828119d390faf2162b3fa4b2d2da2e0e1c795810f6539311c88efacfa235dd,attacker_back,19423900,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x6b75d8af000000e20b7a7ddf000ba900b4009a80,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,274651509803259527168,39,-274651509803259527168,true
38,insertion,confirmed,0xae2fc483527b8ef99eb5d9b44875f005ba1fae13,0x6b75d8af000000e20b7a7ddf000ba900b4009a80,0x2c828119d390faf2162b3fa4b2d2da2e0e1c795810f6539311c88efacfa235dd,attacker_back,19423900,0xdac17f958d2ee523a2206206994597c13d831ec7,0x6ca298d2983ab03aa1da7679389d955a4efee15c,0x6b75d8af000000e20b7a7ddf000ba900b4009a80,103931966209,41,103931966209,false
38,insertion,confirmed,0xae2fc483527b8ef99eb5d9b44875f005ba1fae13,0x6b75d8af000000e20b7a7ddf000ba900b4009a80,0x2c828119d390faf2162b3fa4b2d2da2e0e1c795810f6539311c88efacfa235dd,attacker_back,19423900,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x6b75d8af000000e20b7a7ddf000ba900b4009a80,0x6ca298d2983ab03aa1da7679389d955a4efee15c,25543254758323974659,42,-25543254758323974659,true
38,insertion,confirmed,0xae2fc483527b8ef99eb5d9b44875f005ba1fae13,0x6b75d8af000000e20b7a7ddf000ba900b4009a80,0x48b2eb77634acb5f996417f797b7c4ca4f5b4691d3229cf757e9dcedd522a82d,attacker_front,19423900,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,0x6b75d8af000000e20b7a7ddf000ba900b4009a80,274651510902771154945,0,274651510902771154945,true
38,insertion,confirmed,0xae2fc483527b8ef99eb5d9b44875f005ba1fae13,0x6b75d8af000000e20b7a7ddf000ba900b4009a80,0x48b2eb77634acb5f996417f797b7c4ca4f5b4691d3229cf757e9dcedd522a82d,attacker_front,19423900,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x6b75d8af000000e20b7a7ddf000ba900b4009a80,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,1116413308163,1,-1116413308163,false
38,insertion,confirmed,0xae2fc483527b8ef99eb5d9b44875f005ba1fae13,0x6b75d8af000000e20b7a7ddf000ba900b4009a80,0x48b2eb77634acb5f996417f797b7c4ca4f5b4691d3229cf757e9dcedd522a82d,attacker_front,19423900,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x6ca298d2983ab03aa1da7679389d955a4efee15c,0x6b75d8af000000e20b7a7ddf000ba900b4009a80,25543258291014003034,3,25543258291014003034,true
38,insertion,confirmed,0xae2fc483527b8ef99eb5d9b44875f005ba1fae13,0x6b75d8af000000e20b7a7ddf000ba900b4009a80,0x48b2eb77634acb5f996417f797b7c4ca4f5b4691d3229cf757e9dcedd522a82d,attacker_front,19423900,0xdac17f958d2ee523a2206206994597c13d831ec7,0x6b75d8af000000e20b7a7ddf000ba900b4009a80,0x6ca298d2983ab03aa1da7679389d955a4efee15c,103675310848,4,-103675310848,false
46,insertion,confirmed,0xae2fc483527b8ef99eb5d9b44875f005ba1fae13,0x6b75d8af000000e20b7a7ddf000ba900b4009a80,0x0db1a1a40bc84971eb75cd4d9627bb95329cb54709913ed994a1205143caa50d,attacker_back,19424900,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x3b1ac05b1e4778906ba60c1fd3356038512886e9,0x6b75d8af000000e20b7a7ddf000ba900b4009a80,2382984849,10,2382984849,false
46,insertion,confirmed,0xae2fc483527b8ef99eb5d9b44875f005ba1fae13,0x6b75d8af000000e20b7a7ddf000ba900b4009a80,0x0db1a1a40bc84971eb75cd4d9627bb95329cb54709913ed994a1205143caa50d,attacker_back,19424900,0xdab396ccf3d84cf2d07c4454e10c8a6f5b008d2b,0x6b75d8af000000e20b7a7ddf000ba900b4009a80,0x3b1ac05b1e4778906ba60c1fd3356038512886e9,1176241824075068997632,11,-1176241824075068997632,false
