token_address,reference_block,symbol,name,decimals,metadata_status,provider_host
0x0001a500a6b18995b03f44bb040a5ffc28e45cb0,19441600,OLAS,Autonolas,18,complete,eth-mainnet.g.alchemy.com
0x0258f474786ddfd37abce6df6bbb1dd5dfc4434a,19490800,ORN,Orion Protocol,8,complete,eth-mainnet.g.alchemy.com
0x0353e9f2e8783135f2b71063c66ff62345d95e53,19538000,VILLAIN,Mark Karpeles,9,complete,eth-mainnet.g.alchemy.com
0x059956483753947536204e89bfad909e1a434cc6,19438000,ML,MLTToken,18,complete,eth-mainnet.g.alchemy.com
0x05d66dc4aedd9ade3d775b2c47588832342d0c23,19543700,GMEOW,gmeow,9,complete,eth-mainnet.g.alchemy.com
0x069d89974f4edabde69450f9cf5cf7d8cbd2568d,19447200,BVM,BVM,18,complete,eth-mainnet.g.alchemy.com
0x1495bc9e44af1f8bcb62278d2bec4540cf0c05ea,19501800,DEAI,Zero1 Token,18,complete,eth-mainnet.g.alchemy.com
0x168e209d7b2f58f1f24b8ae7b7d35e662bbf11cc,19441200,LAI,LayerAI Token,18,complete,eth-mainnet.g.alchemy.com
0x17c50d62e6e8d20d2dc18e9ad79c43263d0720d9,19540700,NFAi,Not Financial Advice,18,complete,eth-mainnet.g.alchemy.com
0x1ae7e1d0ce06364ced9ad58225a1705b3e5db92b,19511900,LMEOW,lmeow,9,complete,eth-mainnet.g.alchemy.com
0x1ce270557c1f68cfb577b856766310bf8b47fd9c,19473400,$MONG,MongCoin,18,complete,eth-mainnet.g.alchemy.com
0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,19492700,WBTC,Wrapped BTC,8,complete,eth-mainnet.g.alchemy.com
0x26c8afbbfe1ebaca03c2bb082e69d0476bffe099,19526200,CELL,Cellframe Token,18,complete,eth-mainnet.g.alchemy.com
0x27c70cd1946795b66be9d954418546998b546634,19428200,LEASH,DOGE KILLER,18,complete,eth-mainnet.g.alchemy.com
0x2833a71144fe14fe9e21d25b0fd6cc004136b084,19500600,FoDo,Forked Doge,18,complete,eth-mainnet.g.alchemy.com
0x427a03fb96d9a94a6727fbcfbba143444090dd64,19446200,PIXL,PIXL,18,complete,eth-mainnet.g.alchemy.com
0x467719ad09025fcc6cf6f8311755809d45a5e5f3,19516000,AXL,Axelar,6,complete,eth-mainnet.g.alchemy.com
0x4d948c9da5f27f4a8570b1ae6b940175076ec453,19514600,ATMA,ATMA,10,complete,eth-mainnet.g.alchemy.com
0x54a05afa62fe9c9c0892185d4f1b85e229be9a21,19540300,0xR,0xRender,9,complete,eth-mainnet.g.alchemy.com
0x594daad7d77592a2b97b725a7ad59d7e188b5bfa,19498500,APU,Apu Apustaja,18,complete,eth-mainnet.g.alchemy.com
0x5de8ab7e27f6e7a1fff3e5b337584aa43961beef,19438000,SDEX,SmarDex Token,18,complete,eth-mainnet.g.alchemy.com
0x626e8036deb333b408be468f951bdb42433cbf18,19512000,AIOZ,AIOZ Network,18,complete,eth-mainnet.g.alchemy.com
0x69c20d3fa3aa0c9af173b66b83394d7e85756969,19537100,0x69,0x69,9,complete,eth-mainnet.g.alchemy.com
0x6ff2241756549b5816a177659e766eaf14b34429,19490500,AQTIS,AQTIS Token,18,complete,eth-mainnet.g.alchemy.com
