audit_id,detection_event_id,detector,saved_label,recomputed_label,validation_result,issues
semantic__displacement__2370,2370,displacement,confirmado,confirmado,valid,
semantic__insertion__38,38,insertion,confirmado,confirmado,valid,
semantic__insertion__46,46,insertion,confirmado,confirmado,valid,
semantic__insertion__165,165,insertion,confirmado,confirmado,valid,
semantic__insertion__341,341,insertion,confirmado,confirmado,valid,
semantic__insertion__346,346,insertion,confirmado,confirmado,valid,
semantic__insertion__424,424,insertion,confirmado,confirmado,valid,
semantic__insertion__458,458,insertion,confirmado,confirmado,valid,
semantic__insertion__469,469,insertion,confirmado,confirmado,valid,
semantic__insertion__1023,1023,insertion,confirmado,confirmado,valid,
semantic__insertion__1590,1590,insertion,confirmado,confirmado,valid,
semantic__insertion__1762,1762,insertion,confirmado,confirmado,valid,
semantic__insertion__1770,1770,insertion,confirmado,confirmado,valid,
semantic__insertion__1886,1886,insertion,confirmado,confirmado,valid,
semantic__insertion__1959,1959,insertion,confirmado,confirmado,valid,
semantic__insertion__2088,2088,insertion,confirmado,confirmado,valid,
semantic__insertion__2125,2125,insertion,confirmado,confirmado,valid,
semantic__insertion__2127,2127,insertion,confirmado,confirmado,valid,
semantic__insertion__2438,2438,insertion,confirmado,confirmado,valid,
semantic__insertion__2525,2525,insertion,confirmado,confirmado,valid,
semantic__insertion__2526,2526,insertion,confirmado,confirmado,valid,
semantic__insertion__2579,2579,insertion,confirmado,confirmado,valid,
semantic__insertion__131,131,insertion,confirmado,confirmado,valid,
semantic__insertion__139,139,insertion,confirmado,confirmado,valid,
semantic__insertion__298,298,insertion,confirmado,confirmado,valid,
semantic__insertion__345,345,insertion,confirmado,confirmado,valid,
semantic__insertion__474,474,insertion,confirmado,confirmado,valid,
semantic__insertion__771,771,insertion,confirmado,confirmado,valid,
semantic__insertion__987,987,insertion,confirmado,confirmado,valid,
semantic__insertion__1001,1001,insertion,confirmado,confirmado,valid,
semantic__insertion__1224,1224,insertion,confirmado,confirmado,valid,
semantic__insertion__1317,1317,insertion,confirmado,confirmado,valid,
semantic__insertion__1521,1521,insertion,confirmado,confirmado,valid,
semantic__insertion__1532,1532,insertion,confirmado,confirmado,valid,
semantic__insertion__1540,1540,insertion,confirmado,confirmado,valid,
semantic__insertion__1710,1710,insertion,confirmado,confirmado,valid,
semantic__insertion__1858,1858,insertion,confirmado,confirmado,valid,
semantic__insertion__1991,1991,insertion,confirmado,confirmado,valid,
semantic__insertion__2109,2109,insertion,confirmado,confirmado,valid,
semantic__insertion__2213,2213,insertion,confirmado,confirmado,valid,
semantic__insertion__2232,2232,insertion,confirmado,confirmado,valid,
semantic__insertion__2270,2270,insertion,confirmado,confirmado,valid,
semantic__insertion__2442,2442,insertion,confirmado,confirmado,valid,
semantic__insertion__2733,2733,insertion,confirmado,confirmado,valid,
semantic__displacement__284,284,displacement,provável,provável,valid,
semantic__displacement__349,349,displacement,provável,provável,valid,
semantic__displacement__351,351,displacement,provável,provável,valid,
semantic__displacement__357,357,displacement,provável,provável,valid,
semantic__displacement__361,361,displacement,provável,provável,valid,
semantic__displacement__362,362,displacement,provável,provável,valid,
semantic__displacement__366,366,displacement,provável,provável,valid,
semantic__displacement__446,446,displacement,provável,provável,valid,
semantic__displacement__448,448,displacement,provável,provável,valid,
semantic__displacement__511,511,displacement,provável,provável,valid,
semantic__displacement__512,512,displacement,provável,provável,valid,
semantic__displacement__625,625,displacement,provável,provável,valid,
semantic__displacement__722,722,displacement,provável,provável,valid,
semantic__displacement__844,844,displacement,provável,provável,valid,
semantic__displacement__846,846,displacement,provável,provável,valid,
semantic__displacement__849,849,displacement,provável,provável,valid,
semantic__displacement__854,854,displacement,provável,provável,valid,
semantic__displacement__857,857,displacement,provável,provável,valid,
semantic__displacement__883,883,displacement,provável,provável,valid,
semantic__displacement__908,908,displacement,provável,provável,valid,
semantic__displacement__912,912,displacement,provável,provável,valid,
semantic__displacement__913,913,displacement,provável,provável,valid,
semantic__displacement__914,914,displacement,provável,provável,valid,
semantic__displacement__917,917,displacement,provável,provável,valid,
semantic__displacement__919,919,displacement,provável,provável,valid,
semantic__displacement__923,923,displacement,provável,provável,valid,
semantic__displacement__926,926,displacement,provável,provável,valid,
semantic__displacement__929,929,displacement,provável,provável,valid,
semantic__displacement__1100,1100,displacement,provável,provável,valid,
semantic__displacement__1107,1107,displacement,provável,provável,valid,
semantic__displacement__1160,1160,displacement,provável,provável,valid,
semantic__displacement__1339,1339,displacement,provável,provável,valid,
semantic__displacement__1340,1340,displacement,provável,provável,valid,
semantic__displacement__1341,1341,displacement,provável,provável,valid,
semantic__displacement__1342,1342,displacement,provável,provável,valid,
semantic__displacement__1347,1347,displacement,provável,provável,valid,
semantic__displacement__1348,1348,displacement,provável,provável,valid,
semantic__displacement__1350,1350,displacement,provável,provável,valid,
semantic__displacement__1355,1355,displacement,provável,provável,valid,
semantic__displacement__1360,1360,displacement,provável,provável,valid,
