detection_event_id,detector,validation_status,attacker_address,attacker_executor_address,transaction_hash,transaction_role,block_number,token_address,from_address,to_address,amount_raw,log_index,attacker_entity_delta_raw,is_weth
3,insertion,confirmed,0xb5eaac5a8649142dcdd13f981767913bcdf7ee42,0xe8c060f8052e07423f71d445277c61ac5138a2e5,0x0d460d05ae29f73643e3ffa507fd95681a407d0a300e35e44abed592c62433c7,attacker_back,22385500,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xe0554a476a092703abdb3ef35c80e0d76d32939f,0xe8c060f8052e07423f71d445277c61ac5138a2e5,58715590140980265466,59,58715590140980265466,true
3,insertion,confirmed,0xb5eaac5a8649142dcdd13f981767913bcdf7ee42,0xe8c060f8052e07423f71d445277c61ac5138a2e5,0x0d460d05ae29f73643e3ffa507fd95681a407d0a300e35e44abed592c62433c7,attacker_back,22385500,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xe8c060f8052e07423f71d445277c61ac5138a2e5,0xe0554a476a092703abdb3ef35c80e0d76d32939f,104909348152,60,-104909348152,false
3,insertion,confirmed,0xb5eaac5a8649142dcdd13f981767913bcdf7ee42,0xe8c060f8052e07423f71d445277c61ac5138a2e5,0xb335b2205195c9a20e9b0bebaa7ebb388f5d3ffbb21ee9af8d415e13d0529c06,attacker_front,22385500,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xe0554a476a092703abdb3ef35c80e0d76d32939f,0xe8c060f8052e07423f71d445277c61ac5138a2e5,104909348153,47,104909348153,false
3,insertion,confirmed,0xb5eaac5a8649142dcdd13f981767913bcdf7ee42,0xe8c060f8052e07423f71d445277c61ac5138a2e5,0xb335b2205195c9a20e9b0bebaa7ebb388f5d3ffbb21ee9af8d415e13d0529c06,attacker_front,22385500,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xe8c060f8052e07423f71d445277c61ac5138a2e5,0xe0554a476a092703abdb3ef35c80e0d76d32939f,58712435483029274624,48,-58712435483029274624,true
6,displacement,probable,0x70ddf530e4abf300a92d947c131b32cdba33a2c4,,0x96fea0939e0d927e6db5fa3fee7d184becd87f43456719b3e6f9cc0a0ba6f706,attacker_front,22386000,0x7ba73e23205b348d77ee6e44611f47a9f772a588,0x7ba73e23205b348d77ee6e44611f47a9f772a588,0x4ed1c897cd521ec624bbf5ea503e5c5a1cc47e9b,10000000000000000,72,0,false
6,displacement,probable,0x70ddf530e4abf300a92d947c131b32cdba33a2c4,,0x96fea0939e0d927e6db5fa3fee7d184becd87f43456719b3e6f9cc0a0ba6f706,attacker_front,22386000,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x4ed1c897cd521ec624bbf5ea503e5c5a1cc47e9b,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,38708842574292908,74,0,true
6,displacement,probable,0x70ddf530e4abf300a92d947c131b32cdba33a2c4,,0x96fea0939e0d927e6db5fa3fee7d184becd87f43456719b3e6f9cc0a0ba6f706,attacker_front,22386000,0x7ba73e23205b348d77ee6e44611f47a9f772a588,0x70ddf530e4abf300a92d947c131b32cdba33a2c4,0x4ed1c897cd521ec624bbf5ea503e5c5a1cc47e9b,16400000000000000,78,-16400000000000000,false
6,displacement,probable,0x70ddf530e4abf300a92d947c131b32cdba33a2c4,,0x96fea0939e0d927e6db5fa3fee7d184becd87f43456719b3e6f9cc0a0ba6f706,attacker_front,22386000,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x4ed1c897cd521ec624bbf5ea503e5c5a1cc47e9b,0x3328f7f4a1d1c57c35df56bbf0c9dcafca309c49,59963412294692844,80,0,true
68,displacement,probable,0xda78aeab51ec410b2d3d17eaf74a0bc46d6a0150,,0x91a8777c0f55f8ce3f0efda1b7fe68fc13528f658fd6ad207e952c73b12bf782,attacker_front,22389100,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x3328f7f4a1d1c57c35df56bbf0c9dcafca309c49,0x898384ff8731bc4b3a092f3aa229b5918e5472b5,99672991336293880,23,0,true
68,displacement,probable,0xda78aeab51ec410b2d3d17eaf74a0bc46d6a0150,,0x91a8777c0f55f8ce3f0efda1b7fe68fc13528f658fd6ad207e952c73b12bf782,attacker_front,22389100,0x17d82f3bc41432b756d42b6c69175946fdc00afb,0x898384ff8731bc4b3a092f3aa229b5918e5472b5,0xda78aeab51ec410b2d3d17eaf74a0bc46d6a0150,3397517514504995134,24,3397517514504995134,false
