token_address,reference_block,symbol,name,decimals,metadata_status,provider_host
0x00000000efe302beaa2b3e6e1b18d08d69a9012a,22419000,AUSD,AUSD,6,complete,eth-mainnet.g.alchemy.com
0x0327112423f3a68efdf1fcf402f6c5cb9f7c33fd,22430300,BTC++,PieDAO BTC++,18,complete,eth-mainnet.g.alchemy.com
0x05adf54defbc4c182b11f878f296761522741bec,22477300,BOMBOM,Book of meme plus,9,complete,eth-mainnet.g.alchemy.com
0x081131434f93063751813c619ecca9c4dc7862a3,22498800,DAR,Dalarnia,6,complete,eth-mainnet.g.alchemy.com
0x0b010000b7624eb9b3dfbc279673c76e9d29d5f7,22431800,OBOL,Obol Network,18,complete,eth-mainnet.g.alchemy.com
0x0d357f888c66d89fe005d536b3fe89f151ec399b,22570300,JERRY,Jerry Springer Coin,9,complete,eth-mainnet.g.alchemy.com
0x11fa1193743061591cbe47c9e0765eaebaa3a046,22576600,NKP,NonKyotoProtocol,18,complete,eth-mainnet.g.alchemy.com
0x168e209d7b2f58f1f24b8ae7b7d35e662bbf11cc,22436000,LAI,LayerAI Token,18,complete,eth-mainnet.g.alchemy.com
0x17d82f3bc41432b756d42b6c69175946fdc00afb,22389100,EXIT,Musk Exits D.O.G.E.,9,complete,eth-mainnet.g.alchemy.com
0x1a6531ece190b125cfb1bf2e40f0c3c1cd81dbf9,22560300,BLOCKYBOY,Blockyboy by 𝓜𝓪𝓽𝓽 𝓕𝓾𝓻𝓲𝓮,9,complete,eth-mainnet.g.alchemy.com
0x1bfce574deff725a3f483c334b790e25c8fa9779,22423300,CETI,Tao Ceτi,18,complete,eth-mainnet.g.alchemy.com
0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,22455300,WBTC,Wrapped BTC,8,complete,eth-mainnet.g.alchemy.com
0x226bb599a12c826476e3a771454697ea52e9e220,22520800,PRO,Propy,8,complete,eth-mainnet.g.alchemy.com
0x2275cd8b9cc9f6a8955f511f49dae7e5ac712ff0,22517400,REMILIO,REMILIO CHAN,9,complete,eth-mainnet.g.alchemy.com
0x255494b830bd4fe7220b3ec4842cba75600b6c80,22533900,BEAST,Beast Seller,9,complete,eth-mainnet.g.alchemy.com
0x25931894a86d47441213199621f1f2994e1c39aa,22466800,CGPT,ChainGPT,18,complete,eth-mainnet.g.alchemy.com
0x27054b13b1b798b345b591a4d22e6562d47ea75a,22405900,AST,AirSwap Token,4,complete,eth-mainnet.g.alchemy.com
0x27702a26126e0b3702af63ee09ac4d1a084ef628,22491000,ALEPH,aleph.im v2,18,complete,eth-mainnet.g.alchemy.com
0x2ca9242c1810029efed539f1c60d68b63ad01bfc,22604900,ANVL,Anvil,18,complete,eth-mainnet.g.alchemy.com
