audit_id,detection_event_id,detector,saved_label,recomputed_label,validation_result,issues
semantic__displacement__4769,4769,displacement,confirmado,confirmado,valid,
semantic__insertion__3,3,insertion,confirmado,confirmado,valid,
semantic__insertion__141,141,insertion,confirmado,confirmado,valid,
semantic__insertion__171,171,insertion,confirmado,confirmado,valid,
semantic__insertion__190,190,insertion,confirmado,confirmado,valid,
semantic__insertion__264,264,insertion,confirmado,confirmado,valid,
semantic__insertion__292,292,insertion,confirmado,confirmado,valid,
semantic__insertion__337,337,insertion,confirmado,confirmado,valid,
semantic__insertion__449,449,insertion,confirmado,confirmado,valid,
semantic__insertion__488,488,insertion,confirmado,confirmado,valid,
semantic__insertion__502,502,insertion,confirmado,confirmado,valid,
semantic__insertion__614,614,insertion,confirmado,confirmado,valid,
semantic__insertion__681,681,insertion,confirmado,confirmado,valid,
semantic__insertion__713,713,insertion,confirmado,confirmado,valid,
semantic__insertion__781,781,insertion,confirmado,confirmado,valid,
semantic__insertion__809,809,insertion,confirmado,confirmado,valid,
semantic__insertion__877,877,insertion,confirmado,confirmado,valid,
semantic__insertion__878,878,insertion,confirmado,confirmado,valid,
semantic__insertion__950,950,insertion,confirmado,confirmado,valid,
semantic__insertion__973,973,insertion,confirmado,confirmado,valid,
semantic__insertion__1007,1007,insertion,confirmado,confirmado,valid,
semantic__insertion__1053,1053,insertion,confirmado,confirmado,valid,
semantic__insertion__1179,1179,insertion,confirmado,confirmado,valid,
semantic__insertion__1209,1209,insertion,confirmado,confirmado,valid,
semantic__insertion__1536,1536,insertion,confirmado,confirmado,valid,
semantic__insertion__1572,1572,insertion,confirmado,confirmado,valid,
semantic__insertion__1793,1793,insertion,confirmado,confirmado,valid,
semantic__insertion__1856,1856,insertion,confirmado,confirmado,valid,
semantic__insertion__1892,1892,insertion,confirmado,confirmado,valid,
semantic__insertion__1972,1972,insertion,confirmado,confirmado,valid,
semantic__insertion__2385,2385,insertion,confirmado,confirmado,valid,
semantic__insertion__2417,2417,insertion,confirmado,confirmado,valid,
semantic__insertion__2487,2487,insertion,confirmado,confirmado,valid,
semantic__insertion__2571,2571,insertion,confirmado,confirmado,valid,
semantic__insertion__2658,2658,insertion,confirmado,confirmado,valid,
semantic__insertion__2704,2704,insertion,confirmado,confirmado,valid,
semantic__insertion__2705,2705,insertion,confirmado,confirmado,valid,
semantic__insertion__2947,2947,insertion,confirmado,confirmado,valid,
semantic__insertion__3026,3026,insertion,confirmado,confirmado,valid,
semantic__insertion__3172,3172,insertion,confirmado,confirmado,valid,
semantic__insertion__3198,3198,insertion,confirmado,confirmado,valid,
semantic__insertion__3308,3308,insertion,confirmado,confirmado,valid,
semantic__insertion__3490,3490,insertion,confirmado,confirmado,valid,
semantic__insertion__3579,3579,insertion,confirmado,confirmado,valid,
semantic__insertion__3600,3600,insertion,confirmado,confirmado,valid,
semantic__insertion__3702,3702,insertion,confirmado,confirmado,valid,
semantic__insertion__4032,4032,insertion,confirmado,confirmado,valid,
semantic__insertion__4034,4034,insertion,confirmado,confirmado,valid,
semantic__insertion__4204,4204,insertion,confirmado,confirmado,valid,
semantic__insertion__4489,4489,insertion,confirmado,confirmado,valid,
semantic__insertion__4643,4643,insertion,confirmado,confirmado,valid,
semantic__insertion__4965,4965,insertion,confirmado,confirmado,valid,
semantic__insertion__4984,4984,insertion,confirmado,confirmado,valid,
semantic__insertion__5011,5011,insertion,confirmado,confirmado,valid,
semantic__insertion__5044,5044,insertion,confirmado,confirmado,valid,
semantic__insertion__5075,5075,insertion,confirmado,confirmado,valid,
semantic__insertion__5081,5081,insertion,confirmado,confirmado,valid,
semantic__insertion__91,91,insertion,confirmado,confirmado,valid,
semantic__insertion__302,302,insertion,confirmado,confirmado,valid,
semantic__insertion__357,357,insertion,confirmado,confirmado,valid,
semantic__insertion__383,383,insertion,confirmado,confirmado,valid,
semantic__insertion__725,725,insertion,confirmado,confirmado,valid,
semantic__insertion__747,747,insertion,confirmado,confirmado,valid,
semantic__insertion__1880,1880,insertion,confirmado,confirmado,valid,
semantic__insertion__2182,2182,insertion,confirmado,confirmado,valid,
semantic__insertion__2254,2254,insertion,confirmado,confirmado,valid,
semantic__insertion__2383,2383,insertion,confirmado,confirmado,valid,
semantic__insertion__3191,3191,insertion,confirmado,confirmado,valid,
