detector,validation_status,economic_status,events
displacement,confirmed,insufficient_transfer_visibility,8
displacement,confirmed,no_weth_surplus_after_gas,4
displacement,confirmed,requires_token_valuation,29
displacement,probable,insufficient_transfer_visibility,25
displacement,probable,mixed_assets_requires_valuation,1
displacement,probable,requires_token_valuation,1369
insertion,confirmed,insufficient_transfer_visibility,5
insertion,confirmed,mixed_assets_requires_valuation,257
insertion,confirmed,no_weth_surplus_after_gas,1
insertion,confirmed,requires_token_valuation,68
insertion,confirmed,weth_surplus_after_gas_observed,250
