token_address,reference_block,symbol,name,decimals,metadata_status,provider_host
0x0000000000c5dc95539589fbd24be07c6c14eca4,21384800,CULT,Milady Cult Coin,18,complete,eth-mainnet.g.alchemy.com
0x000000000c08b9884b846dfc7cc7ff74d01f9513,20344600,MAGE,MAGA DOGE,9,complete,eth-mainnet.g.alchemy.com
0x000000a5f4d84a0e8ecca069fac0254606514922,19753700,DONKE,Donke Coin,9,complete,eth-mainnet.g.alchemy.com
0x0000e3705d8735ee724a76f3440c0a7ea721ed00,20285800,SAITAMA,Saitama Inu,9,complete,eth-mainnet.g.alchemy.com
0x00199c511dc889b8155fa425fc0363ed481e8f48,19851000,Brick Block,BRICK,18,complete,eth-mainnet.g.alchemy.com
0x004922ee730ae015fa75ea8cc0dc9663b3601e5c,21167000,ACT0,Act 0 : The Chosen Ones,18,complete,eth-mainnet.g.alchemy.com
0x0064e754a50c8bd3f23ee185338a5c31b82c3c18,20963100,GME6900,GameStop6900,18,complete,eth-mainnet.g.alchemy.com
0x008faa8bc8157f8d19cd716e8cf1bae0ccad74be,20566100,CHAPPY,Chappy,18,complete,eth-mainnet.g.alchemy.com
0x00f116ac0c304c570daaa68fa6c30a86a04b5c5f,20821800,INF,INFERNO,18,complete,eth-mainnet.g.alchemy.com
0x01110069688763c4bb368ea408d565ba3fa05718,21003600,ACT,Act I : The AI Prophecy,9,complete,eth-mainnet.g.alchemy.com
0x012b524922c83e5b4917f5f0a1a1eb1322932d86,20263000,CHIRP,ChirpyCoin,9,complete,eth-mainnet.g.alchemy.com
0x0130a06f287af17e8e62891b44b6dd8a07e7c3b6,20866300,MARTY,Nyan Cat,9,complete,eth-mainnet.g.alchemy.com
0x017c20fdb8595602f2a2367399c5c49c0b7e9b00,20127600,CAPY,MILLY CAPY,9,complete,eth-mainnet.g.alchemy.com
0x017e95af1a42ba6e5385d6e05d5fd46aeb67c45d,20916400,GREEDY,GR3EDY,9,complete,eth-mainnet.g.alchemy.com
0x018008bfb33d285247a21d44e50697654f754e63,20464200,aEthDAI,Aave Ethereum DAI,18,complete,eth-mainnet.g.alchemy.com
0x01dfb5c49b583b1a81da000d1183668606532c7f,21395400,POND,PEPE Pond,18,complete,eth-mainnet.g.alchemy.com
0x01e189e3fede85d40fa97c56bf13e376de91f1d1,20942300,ETF6900,Ethereum Traded Funds 6900,9,complete,eth-mainnet.g.alchemy.com
