token_address,reference_block,symbol,name,decimals,metadata_status,provider_host
0x0000000000085d4780b73119b644ae5ecd22b376,22226200,TUSD,TrueUSD,18,complete,eth-mainnet.g.alchemy.com
0x00c2999c8b2adf4abc835cc63209533973718eb1,22001600,STATE,New World Order,18,complete,eth-mainnet.g.alchemy.com
0x015396e1f286289ae23a762088e863b3ec465145,22213100,variableDebtEthUSDe,Aave Ethereum Variable Debt USDe,18,complete,eth-mainnet.g.alchemy.com
0x018008bfb33d285247a21d44e50697654f754e63,22280300,aEthDAI,Aave Ethereum DAI,18,complete,eth-mainnet.g.alchemy.com
0x0202be363b8a4820f3f4de7faf5224ff05943ab1,21852500,UFT,UniLend Finance Token,18,complete,eth-mainnet.g.alchemy.com
0x035bfe6057e15ea692c0dfdcab3bb41a64dd2ad4,21842900,ULU,Universal Liquidity Union,18,complete,eth-mainnet.g.alchemy.com
0x037a54aab062628c9bbae1fdb1583c195585fe41,22020500,LCX,LCX,18,complete,eth-mainnet.g.alchemy.com
0x046eee2cc3188071c02bfc1745a6b17c656e3f3d,21977000,RLB,Rollbit Coin,18,complete,eth-mainnet.g.alchemy.com
0x0492560fa7cfd6a85e50d8be3f77318994f8f429,21794000,fwUSDC,Few Wrapped USD Coin,6,complete,eth-mainnet.g.alchemy.com
0x04f121600c8c47a754636fc9d75661a9525e05d5,21700600,STARS,STARS,18,complete,eth-mainnet.g.alchemy.com
0x06b964d96f5dcf7eae9d7c559b09edce244d4b8e,22073700,USUALX,USUALX,18,complete,eth-mainnet.g.alchemy.com
0x079b11a094a62745089c37dd6a6fa6334ebc8f38,21543900,AIA,AI Agent,9,complete,eth-mainnet.g.alchemy.com
0x0a5e677a6a24b2f1a2bf4f3bffc443231d2fdec8,21773700,USX,dForce USD,18,complete,eth-mainnet.g.alchemy.com
0x0aff507ac29b8cea2fb10d2ad14408c2d79a35ad,22202400,TALK,CrypTalk,18,complete,eth-mainnet.g.alchemy.com
0x0bb217e40f8a5cb79adf04e1aab60e5abd0dfc1e,21712100,SWFTC,SwftCoin,8,complete,eth-mainnet.g.alchemy.com
0x0cec1a9154ff802e7934fc916ed7ca50bde6844e,21909800,POOL,PoolTogether,18,complete,eth-mainnet.g.alchemy.com
0x0d3cbed3f69ee050668adf3d9ea57241cba33a2b,21810800,PDA,PlayDapp,18,complete,eth-mainnet.g.alchemy.com
0x0d57436f2d39c0664c6f0f2e349229483f87ea38,22235700,wA7A5,Wrapped A7A5 1.0,6,complete,eth-mainnet.g.alchemy.com
0x0f1db594538e893ad802d41a95f4572ba4fa7d67,21988100,BRS,Bitcoin reserve strategy,9,complete,eth-mainnet.g.alchemy.com
0x0f2d719407fdbeff09d87557abb7232601fd9f29,21754600,SYN,Synapse,18,complete,eth-mainnet.g.alchemy.com
0x0f51bb10119727a7e5ea3538074fb341f56b09ad,22160600,DAO,DAO Maker,18,complete,eth-mainnet.g.alchemy.com
0x0f81001ef0a83ecce5ccebf63eb302c70a39a654,22340000,DOLO,Dolomite,18,complete,eth-mainnet.g.alchemy.com
0x1223334444a7466fbf985b14e1f4edaf3883bca6,22083100,GROW,Grow,18,complete,eth-mainnet.g.alchemy.com
0x12652c6d93fdb6f4f37d48a8687783c782bb0d10,22005400,NGL,Entangle,18,complete,eth-mainnet.g.alchemy.com
0x12824e9016823931d3c0b0695d6f2aff20f98c95,22054300,THRALL,Vitalik's Bitcoin Warchief,9,complete,eth-mainnet.g.alchemy.com
0x137ddb47ee24eaa998a535ab00378d6bfa84f893,21890500,RDNT,Radiant,18,complete,eth-mainnet.g.alchemy.com
0x1495bc9e44af1f8bcb62278d2bec4540cf0c05ea,21793800,DEAI,Zero1 Token,18,complete,eth-mainnet.g.alchemy.com
0x15700b564ca08d9439c58ca5053166e8317aa138,21850200,deUSD,deUSD,18,complete,eth-mainnet.g.alchemy.com
0x15e6e0d4ebeac120f9a97e71faa6a0235b85ed12,21705100,SAVM,SatoshiVM,18,complete,eth-mainnet.g.alchemy.com
0x168e209d7b2f58f1f24b8ae7b7d35e662bbf11cc,22109500,LAI,LayerAI Token,18,complete,eth-mainnet.g.alchemy.com
