audit_id,detection_event_id,detector,saved_label,recomputed_label,validation_result,issues
semantic__displacement__1048,1048,displacement,confirmado,confirmado,valid,
semantic__displacement__2684,2684,displacement,confirmado,confirmado,valid,
semantic__displacement__5439,5439,displacement,confirmado,confirmado,valid,
semantic__displacement__5480,5480,displacement,confirmado,confirmado,valid,
semantic__displacement__5794,5794,displacement,confirmado,confirmado,valid,
semantic__displacement__6621,6621,displacement,confirmado,confirmado,valid,
semantic__displacement__9611,9611,displacement,confirmado,confirmado,valid,
semantic__displacement__12123,12123,displacement,confirmado,confirmado,valid,
semantic__displacement__15408,15408,displacement,confirmado,confirmado,valid,
semantic__displacement__15494,15494,displacement,confirmado,confirmado,valid,
semantic__displacement__15823,15823,displacement,confirmado,confirmado,valid,
semantic__displacement__15830,15830,displacement,confirmado,confirmado,valid,
semantic__insertion__13,13,insertion,confirmado,confirmado,valid,
semantic__insertion__25,25,insertion,confirmado,confirmado,valid,
semantic__insertion__91,91,insertion,confirmado,confirmado,valid,
semantic__insertion__171,171,insertion,confirmado,confirmado,valid,
semantic__insertion__542,542,insertion,confirmado,confirmado,valid,
semantic__insertion__549,549,insertion,confirmado,confirmado,valid,
semantic__insertion__590,590,insertion,confirmado,confirmado,valid,
semantic__insertion__614,614,insertion,confirmado,confirmado,valid,
semantic__insertion__802,802,insertion,confirmado,confirmado,valid,
semantic__insertion__937,937,insertion,confirmado,confirmado,valid,
semantic__insertion__1095,1095,insertion,confirmado,confirmado,valid,
semantic__insertion__1203,1203,insertion,confirmado,confirmado,valid,
semantic__insertion__1246,1246,insertion,confirmado,confirmado,valid,
semantic__insertion__1563,1563,insertion,confirmado,confirmado,valid,
semantic__insertion__1679,1679,insertion,confirmado,confirmado,valid,
semantic__insertion__1713,1713,insertion,confirmado,confirmado,valid,
semantic__insertion__1765,1765,insertion,confirmado,confirmado,valid,
semantic__insertion__2179,2179,insertion,confirmado,confirmado,valid,
semantic__insertion__2905,2905,insertion,confirmado,confirmado,valid,
semantic__insertion__2969,2969,insertion,confirmado,confirmado,valid,
semantic__insertion__3135,3135,insertion,confirmado,confirmado,valid,
semantic__insertion__3207,3207,insertion,confirmado,confirmado,valid,
semantic__insertion__3232,3232,insertion,confirmado,confirmado,valid,
semantic__insertion__3369,3369,insertion,confirmado,confirmado,valid,
semantic__insertion__3456,3456,insertion,confirmado,confirmado,valid,
semantic__insertion__3468,3468,insertion,confirmado,confirmado,valid,
semantic__insertion__3556,3556,insertion,confirmado,confirmado,valid,
semantic__insertion__3605,3605,insertion,confirmado,confirmado,valid,
semantic__insertion__3677,3677,insertion,confirmado,confirmado,valid,
semantic__insertion__3790,3790,insertion,confirmado,confirmado,valid,
semantic__insertion__3894,3894,insertion,confirmado,confirmado,valid,
semantic__insertion__3958,3958,insertion,confirmado,confirmado,valid,
semantic__insertion__3979,3979,insertion,confirmado,confirmado,valid,
semantic__insertion__3984,3984,insertion,confirmado,confirmado,valid,
semantic__insertion__4089,4089,insertion,confirmado,confirmado,valid,
semantic__insertion__4167,4167,insertion,confirmado,confirmado,valid,
semantic__insertion__4197,4197,insertion,confirmado,confirmado,valid,
semantic__insertion__4205,4205,insertion,confirmado,confirmado,valid,
semantic__insertion__4219,4219,insertion,confirmado,confirmado,valid,
semantic__insertion__4223,4223,insertion,confirmado,confirmado,valid,
semantic__insertion__4248,4248,insertion,confirmado,confirmado,valid,
semantic__insertion__4251,4251,insertion,confirmado,confirmado,valid,
semantic__insertion__4254,4254,insertion,confirmado,confirmado,valid,
semantic__insertion__4321,4321,insertion,confirmado,confirmado,valid,
semantic__insertion__4340,4340,insertion,confirmado,confirmado,valid,
semantic__insertion__4398,4398,insertion,confirmado,confirmado,valid,
semantic__insertion__4422,4422,insertion,confirmado,confirmado,valid,
semantic__insertion__4640,4640,insertion,confirmado,confirmado,valid,
semantic__insertion__4749,4749,insertion,confirmado,confirmado,valid,
semantic__insertion__4805,4805,insertion,confirmado,confirmado,valid,
semantic__insertion__4935,4935,insertion,confirmado,confirmado,valid,
semantic__insertion__4939,4939,insertion,confirmado,confirmado,valid,
semantic__insertion__4941,4941,insertion,confirmado,confirmado,valid,
semantic__insertion__4950,4950,insertion,confirmado,confirmado,valid,
semantic__insertion__4953,4953,insertion,confirmado,confirmado,valid,
semantic__insertion__5069,5069,insertion,confirmado,confirmado,valid,
semantic__insertion__5074,5074,insertion,confirmado,confirmado,valid,
semantic__insertion__5177,5177,insertion,confirmado,confirmado,valid,
semantic__insertion__5182,5182,insertion,confirmado,confirmado,valid,
semantic__insertion__5203,5203,insertion,confirmado,confirmado,valid,
semantic__insertion__5219,5219,insertion,confirmado,confirmado,valid,
semantic__insertion__5246,5246,insertion,confirmado,confirmado,valid,
semantic__insertion__5270,5270,insertion,confirmado,confirmado,valid,
semantic__insertion__5357,5357,insertion,confirmado,confirmado,valid,
semantic__insertion__5442,5442,insertion,confirmado,confirmado,valid,
semantic__insertion__5520,5520,insertion,confirmado,confirmado,valid,
semantic__insertion__5532,5532,insertion,confirmado,confirmado,valid,
semantic__insertion__5676,5676,insertion,confirmado,confirmado,valid,
semantic__insertion__5784,5784,insertion,confirmado,confirmado,valid,
semantic__insertion__5834,5834,insertion,confirmado,confirmado,valid,
semantic__insertion__5835,5835,insertion,confirmado,confirmado,valid,
semantic__insertion__5846,5846,insertion,confirmado,confirmado,valid,
semantic__insertion__5930,5930,insertion,confirmado,confirmado,valid,
semantic__insertion__5950,5950,insertion,confirmado,confirmado,valid,
semantic__insertion__5958,5958,insertion,confirmado,confirmado,valid,
semantic__insertion__5982,5982,insertion,confirmado,confirmado,valid,
semantic__insertion__5993,5993,insertion,confirmado,confirmado,valid,
semantic__insertion__6068,6068,insertion,confirmado,confirmado,valid,
semantic__insertion__6293,6293,insertion,confirmado,confirmado,valid,
semantic__insertion__6294,6294,insertion,confirmado,confirmado,valid,
semantic__insertion__6315,6315,insertion,confirmado,confirmado,valid,
semantic__insertion__6466,6466,insertion,confirmado,confirmado,valid,
semantic__insertion__6488,6488,insertion,confirmado,confirmado,valid,
semantic__insertion__6517,6517,insertion,confirmado,confirmado,valid,
semantic__insertion__6650,6650,insertion,confirmado,confirmado,valid,
semantic__insertion__6670,6670,insertion,confirmado,confirmado,valid,
semantic__insertion__6788,6788,insertion,confirmado,confirmado,valid,
semantic__insertion__6794,6794,insertion,confirmado,confirmado,valid,
semantic__insertion__6808,6808,insertion,confirmado,confirmado,valid,
semantic__insertion__6883,6883,insertion,confirmado,confirmado,valid,
semantic__insertion__6901,6901,insertion,confirmado,confirmado,valid,
semantic__insertion__6936,6936,insertion,confirmado,confirmado,valid,
semantic__insertion__7089,7089,insertion,confirmado,confirmado,valid,
semantic__insertion__7164,7164,insertion,confirmado,confirmado,valid,
semantic__insertion__7194,7194,insertion,confirmado,confirmado,valid,
semantic__insertion__7253,7253,insertion,confirmado,confirmado,valid,
semantic__insertion__7301,7301,insertion,confirmado,confirmado,valid,
semantic__insertion__7366,7366,insertion,confirmado,confirmado,valid,
semantic__insertion__7396,7396,insertion,confirmado,confirmado,valid,
semantic__insertion__7481,7481,insertion,confirmado,confirmado,valid,
semantic__insertion__7500,7500,insertion,confirmado,confirmado,valid,
semantic__insertion__7509,7509,insertion,confirmado,confirmado,valid,
semantic__insertion__7556,7556,insertion,confirmado,confirmado,valid,
semantic__insertion__7566,7566,insertion,confirmado,confirmado,valid,
semantic__insertion__7584,7584,insertion,confirmado,confirmado,valid,
semantic__insertion__7595,7595,insertion,confirmado,confirmado,valid,
semantic__insertion__7634,7634,insertion,confirmado,confirmado,valid,
semantic__insertion__7689,7689,insertion,confirmado,confirmado,valid,
semantic__insertion__7697,7697,insertion,confirmado,confirmado,valid,
semantic__insertion__7710,7710,insertion,confirmado,confirmado,valid,
semantic__insertion__7721,7721,insertion,confirmado,confirmado,valid,
semantic__insertion__8000,8000,insertion,confirmado,confirmado,valid,
semantic__insertion__8019,8019,insertion,confirmado,confirmado,valid,
semantic__insertion__8040,8040,insertion,confirmado,confirmado,valid,
semantic__insertion__8115,8115,insertion,confirmado,confirmado,valid,
semantic__insertion__8209,8209,insertion,confirmado,confirmado,valid,
semantic__insertion__8216,8216,insertion,confirmado,confirmado,valid,
semantic__insertion__8269,8269,insertion,confirmado,confirmado,valid,
semantic__insertion__8275,8275,insertion,confirmado,confirmado,valid,
semantic__insertion__8294,8294,insertion,confirmado,confirmado,valid,
semantic__insertion__8306,8306,insertion,confirmado,confirmado,valid,
semantic__insertion__8381,8381,insertion,confirmado,confirmado,valid,
semantic__insertion__8414,8414,insertion,confirmado,confirmado,valid,
semantic__insertion__8470,8470,insertion,confirmado,confirmado,valid,
semantic__insertion__8539,8539,insertion,confirmado,confirmado,valid,
semantic__insertion__8543,8543,insertion,confirmado,confirmado,valid,
semantic__insertion__8589,8589,insertion,confirmado,confirmado,valid,
semantic__insertion__8596,8596,insertion,confirmado,confirmado,valid,
semantic__insertion__8601,8601,insertion,confirmado,confirmado,valid,
semantic__insertion__8710,8710,insertion,confirmado,confirmado,valid,
semantic__insertion__8717,8717,insertion,confirmado,confirmado,valid,
semantic__insertion__8744,8744,insertion,confirmado,confirmado,valid,
semantic__insertion__8763,8763,insertion,confirmado,confirmado,valid,
semantic__insertion__8803,8803,insertion,confirmado,confirmado,valid,
semantic__insertion__8890,8890,insertion,confirmado,confirmado,valid,
semantic__insertion__8892,8892,insertion,confirmado,confirmado,valid,
semantic__insertion__8894,8894,insertion,confirmado,confirmado,valid,
semantic__insertion__8981,8981,insertion,confirmado,confirmado,valid,
semantic__insertion__9000,9000,insertion,confirmado,confirmado,valid,
semantic__insertion__9100,9100,insertion,confirmado,confirmado,valid,
semantic__insertion__9124,9124,insertion,confirmado,confirmado,valid,
semantic__insertion__9160,9160,insertion,confirmado,confirmado,valid,
semantic__insertion__9176,9176,insertion,confirmado,confirmado,valid,
semantic__insertion__9213,9213,insertion,confirmado,confirmado,valid,
semantic__insertion__9295,9295,insertion,confirmado,confirmado,valid,
semantic__insertion__9296,9296,insertion,confirmado,confirmado,valid,
semantic__insertion__9302,9302,insertion,confirmado,confirmado,valid,
semantic__insertion__9335,9335,insertion,confirmado,confirmado,valid,
semantic__insertion__9364,9364,insertion,confirmado,confirmado,valid,
semantic__insertion__9508,9508,insertion,confirmado,confirmado,valid,
semantic__insertion__9514,9514,insertion,confirmado,confirmado,valid,
semantic__insertion__9522,9522,insertion,confirmado,confirmado,valid,
semantic__insertion__9530,9530,insertion,confirmado,confirmado,valid,
semantic__insertion__9595,9595,insertion,confirmado,confirmado,valid,
semantic__insertion__9738,9738,insertion,confirmado,confirmado,valid,
semantic__insertion__9767,9767,insertion,confirmado,confirmado,valid,
semantic__insertion__9792,9792,insertion,confirmado,confirmado,valid,
semantic__insertion__9803,9803,insertion,confirmado,confirmado,valid,
semantic__insertion__9899,9899,insertion,confirmado,confirmado,valid,
semantic__insertion__9944,9944,insertion,confirmado,confirmado,valid,
semantic__insertion__9953,9953,insertion,confirmado,confirmado,valid,
semantic__insertion__9966,9966,insertion,confirmado,confirmado,valid,
semantic__insertion__9971,9971,insertion,confirmado,confirmado,valid,
semantic__insertion__9995,9995,insertion,confirmado,confirmado,valid,
semantic__insertion__10108,10108,insertion,confirmado,confirmado,valid,
semantic__insertion__10137,10137,insertion,confirmado,confirmado,valid,
semantic__insertion__10282,10282,insertion,confirmado,confirmado,valid,
semantic__insertion__10350,10350,insertion,confirmado,confirmado,valid,
semantic__insertion__10406,10406,insertion,confirmado,confirmado,valid,
semantic__insertion__10427,10427,insertion,confirmado,confirmado,valid,
semantic__insertion__10434,10434,insertion,confirmado,confirmado,valid,
semantic__insertion__10908,10908,insertion,confirmado,confirmado,valid,
semantic__insertion__10986,10986,insertion,confirmado,confirmado,valid,
semantic__insertion__11054,11054,insertion,confirmado,confirmado,valid,
semantic__insertion__11055,11055,insertion,confirmado,confirmado,valid,
semantic__insertion__11265,11265,insertion,confirmado,confirmado,valid,
semantic__insertion__11271,11271,insertion,confirmado,confirmado,valid,
semantic__insertion__11315,11315,insertion,confirmado,confirmado,valid,
semantic__insertion__11398,11398,insertion,confirmado,confirmado,valid,
semantic__insertion__11506,11506,insertion,confirmado,confirmado,valid,
semantic__insertion__11557,11557,insertion,confirmado,confirmado,valid,
semantic__insertion__11643,11643,insertion,confirmado,confirmado,valid,
semantic__insertion__11714,11714,insertion,confirmado,confirmado,valid,
