"transaction_from","label"
"0x1f9090aae28b8a3dceadf281b0f12828e676c326",""
"0xc9d945721ed37c6451e457b3c7f1e0cec42417fb",antbuilder
"0x95222290dd7278aa3ddd389cc1e1d165cc4bafe5",beaverbuild
"0x7adc0e867ebc337e2d20c44db181c067fa08637b",blockbeelder
"0x965df5ff6116c395187e288e5c87fb96cfb8141c",bloXroute: Builder 1
"0xf573d99385c05c23b24ed33de616ad16a43a0919",bloXroute: Ethical Builder
"0xf2f5c73fa04406b1995e397b55c24ab1f3ea726c",bloXroute: Max Profit Builder
"0x199d5ed7f45f4ee35960cf22eade2076e95b253f",bloXroute: Regulated Builder
"0x3b64216ad1a58f61538b4fa1b27327675ab7ed67",Boba Builder
"0xbd3afb0bb76683ecb4225f9dbc91f998713c3b01",BuildAI.net
"0x000000000000d3b2c76221467d2f8c8f1de832a2",Builder Smith
"0x690b9a9e9aa1c9db991c7721a92d351db4fac990",builder0x69
"0xdadb0d80178819f2319190d340ce9a924f783711",BuilderNet
"0x4675c7e5baafbffbca748158becba61ef3b0a263",Coinbase: MEV Builder
"0xaab27b150451726ec7738aa1d0a94505c8729bd1",Eden Network: Builder
"0xfeebabe6b0418ec13b30aadf129f5dcdd4f70cea",eth-builder
"0x5124fcc2b3f99f571ad67d075643c743f38f1c34",Faith Builder
"0xdafea492d9c6733ae3d56b7ed1adb60692c98bc5",Flashbots: Builder
"0xdf99a0839818b3f120ebac9b73f82b617dc6a555",Flashbots: Builder 2
"0xb64a30399f7f6b0c154c2e7af0a3ec7b0a5b131a",Flashbots: Old Builder
"0xc83dad6e38bf7f2d79f2a51dd3c4be3f530965d6",Flashbots: SGX Builder
"0x7316b4e0f0d4b19b4ac13895224cd522d785e51d",lightspeedbuilder 1
"0xd2090025857b9c7b24387741f120538e928a3a59",lightspeedbuilder 2
"0x57865ba267d48671a41431f471933aec32a7c7d1",Manifold Finance: Builder
"0x5f927395213ee6b95de97bddcb1b2b1c0f16844f",Manta-builder
"0xbeed9a1a750945966cfc8800abd4cf7eecd22500",MEV Bot: 0xbEE...500
"0x00066282d9fac206f8f0fd0b935958ae55e13333",MEV Builder: 0x000...333
"0x000e633ddef00da46abd5044779257a64ead9bce",MEV Builder: 0x000...bce
"0x0000000000675d852c8638df2f227949052b1208",MEV Builder: 0x0000...208
"0x0185dace572bc61eb0df1d778cc4213b8b47a84f",MEV Builder: 0x0185...84f
"0x036c9c0aae7a8268f332ba968dac5963c6adaca5",MEV Builder: 0x036...ca5
"0x089780a88f35b58144aa8a9be654207a1afe7959",MEV Builder: 0x089...959
"0x0899529af5a64125d000bc36f503de012463f094",MEV Builder: 0x0899...094
"0x0aa8ebb6ad5a8e499e550ae2c461197624c6e667",MEV Builder: 0x0Aa...667
"0x0b1ddf6d1da69532ad4198470679b0b49176c68f",MEV Builder: 0x0b1...68f
