configuration,candidate_file,candidate_rows,unique_from_addresses,matched_rows,matched_addresses,weak_positive_mev_bot_rows,weak_positive_mev_bot_addresses,output_file
a_completa,01_estresse_pre_dencun_2024.parquet,3619,1569,2,2,2,2,E:\Mestrado\src\04-pos-processamento\resultados-labelcloud\vinculos-candidatos\a_completa\01_estresse_pre_dencun_2024.parquet
a_completa,02_transicao_dencun_2024.parquet,832,382,0,0,0,0,E:\Mestrado\src\04-pos-processamento\resultados-labelcloud\vinculos-candidatos\a_completa\02_transicao_dencun_2024.parquet
a_completa,03_treino_2024_pos_dencun.parquet,12597,5124,5,3,5,3,E:\Mestrado\src\04-pos-processamento\resultados-labelcloud\vinculos-candidatos\a_completa\03_treino_2024_pos_dencun.parquet
a_completa,04_validacao_2025_pre_pectra.parquet,13628,5351,37,7,37,7,E:\Mestrado\src\04-pos-processamento\resultados-labelcloud\vinculos-candidatos\a_completa\04_validacao_2025_pre_pectra.parquet
a_completa,05_transicao_pectra_2025.parquet,4190,1434,13,3,13,3,E:\Mestrado\src\04-pos-processamento\resultados-labelcloud\vinculos-candidatos\a_completa\05_transicao_pectra_2025.parquet
a_completa,06_teste_final_2025.parquet,85147,20395,1325,7,1325,7,E:\Mestrado\src\04-pos-processamento\resultados-labelcloud\vinculos-candidatos\a_completa\06_teste_final_2025.parquet
a_completa,07_estresse_fusaka_2025.parquet,50571,19333,414,4,414,4,E:\Mestrado\src\04-pos-processamento\resultados-labelcloud\vinculos-candidatos\a_completa\07_estresse_fusaka_2025.parquet
b_completa,01_estresse_pre_dencun_2024.parquet,6802,425,38,6,38,6,E:\Mestrado\src\04-pos-processamento\resultados-labelcloud\vinculos-candidatos\b_completa\01_estresse_pre_dencun_2024.parquet
b_completa,02_transicao_dencun_2024.parquet,655,311,11,3,11,3,E:\Mestrado\src\04-pos-processamento\resultados-labelcloud\vinculos-candidatos\b_completa\02_transicao_dencun_2024.parquet
b_completa,03_treino_2024_pos_dencun.parquet,8195,1204,38,8,38,8,E:\Mestrado\src\04-pos-processamento\resultados-labelcloud\vinculos-candidatos\b_completa\03_treino_2024_pos_dencun.parquet
b_completa,04_validacao_2025_pre_pectra.parquet,12633,1238,198,8,198,8,E:\Mestrado\src\04-pos-processamento\resultados-labelcloud\vinculos-candidatos\b_completa\04_validacao_2025_pre_pectra.parquet
b_completa,05_transicao_pectra_2025.parquet,2607,281,88,4,88,4,E:\Mestrado\src\04-pos-processamento\resultados-labelcloud\vinculos-candidatos\b_completa\05_transicao_pectra_2025.parquet
b_completa,06_teste_final_2025.parquet,64767,10928,9746,9,9746,9,E:\Mestrado\src\04-pos-processamento\resultados-labelcloud\vinculos-candidatos\b_completa\06_teste_final_2025.parquet
b_completa,07_estresse_fusaka_2025.parquet,83553,40703,621,10,621,10,E:\Mestrado\src\04-pos-processamento\resultados-labelcloud\vinculos-candidatos\b_completa\07_estresse_fusaka_2025.parquet
b_sem_taxas_absolutas,01_estresse_pre_dencun_2024.parquet,8554,337,0,0,0,0,E:\Mestrado\src\04-pos-processamento\resultados-labelcloud\vinculos-candidatos\b_sem_taxas_absolutas\01_estresse_pre_dencun_2024.parquet
b_sem_taxas_absolutas,02_transicao_dencun_2024.parquet,613,145,0,0,0,0,E:\Mestrado\src\04-pos-processamento\resultados-labelcloud\vinculos-candidatos\b_sem_taxas_absolutas\02_transicao_dencun_2024.parquet
b_sem_taxas_absolutas,03_treino_2024_pos_dencun.parquet,6720,1270,3,3,3,3,E:\Mestrado\src\04-pos-processamento\resultados-labelcloud\vinculos-candidatos\b_sem_taxas_absolutas\03_treino_2024_pos_dencun.parquet
b_sem_taxas_absolutas,04_validacao_2025_pre_pectra.parquet,9822,459,38,2,38,2,E:\Mestrado\src\04-pos-processamento\resultados-labelcloud\vinculos-candidatos\b_sem_taxas_absolutas\04_validacao_2025_pre_pectra.parquet
b_sem_taxas_absolutas,05_transicao_pectra_2025.parquet,2088,131,0,0,0,0,E:\Mestrado\src\04-pos-processamento\resultados-labelcloud\vinculos-candidatos\b_sem_taxas_absolutas\05_transicao_pectra_2025.parquet
b_sem_taxas_absolutas,06_teste_final_2025.parquet,11840,1913,3166,4,3166,4,E:\Mestrado\src\04-pos-processamento\resultados-labelcloud\vinculos-candidatos\b_sem_taxas_absolutas\06_teste_final_2025.parquet
b_sem_taxas_absolutas,07_estresse_fusaka_2025.parquet,1914,266,25,3,25,3,E:\Mestrado\src\04-pos-processamento\resultados-labelcloud\vinculos-candidatos\b_sem_taxas_absolutas\07_estresse_fusaka_2025.parquet
c_completa,01_estresse_pre_dencun_2024.parquet,8613,790,9,1,9,1,E:\Mestrado\src\04-pos-processamento\resultados-labelcloud\vinculos-candidatos\c_completa\01_estresse_pre_dencun_2024.parquet
c_completa,02_transicao_dencun_2024.parquet,809,291,0,0,0,0,E:\Mestrado\src\04-pos-processamento\resultados-labelcloud\vinculos-candidatos\c_completa\02_transicao_dencun_2024.parquet
c_completa,03_treino_2024_pos_dencun.parquet,8211,1522,3,3,3,3,E:\Mestrado\src\04-pos-processamento\resultados-labelcloud\vinculos-candidatos\c_completa\03_treino_2024_pos_dencun.parquet
c_completa,04_validacao_2025_pre_pectra.parquet,11655,1493,276,5,276,5,E:\Mestrado\src\04-pos-processamento\resultados-labelcloud\vinculos-candidatos\c_completa\04_validacao_2025_pre_pectra.parquet
c_completa,05_transicao_pectra_2025.parquet,3260,375,231,5,231,5,E:\Mestrado\src\04-pos-processamento\resultados-labelcloud\vinculos-candidatos\c_completa\05_transicao_pectra_2025.parquet
c_completa,06_teste_final_2025.parquet,49982,8619,14645,7,14645,7,E:\Mestrado\src\04-pos-processamento\resultados-labelcloud\vinculos-candidatos\c_completa\06_teste_final_2025.parquet
c_completa,07_estresse_fusaka_2025.parquet,31831,12409,687,5,687,5,E:\Mestrado\src\04-pos-processamento\resultados-labelcloud\vinculos-candidatos\c_completa\07_estresse_fusaka_2025.parquet
c_sem_taxas_absolutas,01_estresse_pre_dencun_2024.parquet,8292,903,5,5,5,5,E:\Mestrado\src\04-pos-processamento\resultados-labelcloud\vinculos-candidatos\c_sem_taxas_absolutas\01_estresse_pre_dencun_2024.parquet
c_sem_taxas_absolutas,02_transicao_dencun_2024.parquet,987,536,2,1,2,1,E:\Mestrado\src\04-pos-processamento\resultados-labelcloud\vinculos-candidatos\c_sem_taxas_absolutas\02_transicao_dencun_2024.parquet
c_sem_taxas_absolutas,03_treino_2024_pos_dencun.parquet,10438,3449,67,7,67,7,E:\Mestrado\src\04-pos-processamento\resultados-labelcloud\vinculos-candidatos\c_sem_taxas_absolutas\03_treino_2024_pos_dencun.parquet
c_sem_taxas_absolutas,04_validacao_2025_pre_pectra.parquet,11957,1985,105,6,105,6,E:\Mestrado\src\04-pos-processamento\resultados-labelcloud\vinculos-candidatos\c_sem_taxas_absolutas\04_validacao_2025_pre_pectra.parquet
