split,split_role,configuration,method,model,rows,positives,negatives,prevalence,roc_auc,pr_auc_average_precision,assumption
estresse_pre_dencun_2024,historical_stress,a_completa,AE,AE:a_completa,832676,4726,827950,0.005675676973997089,0.4752200900423592,0.005013256474203804,Hipótese experimental: endereços MEV Bot do Label Cloud são positivos; todos os endereços ausentes são negativos.
estresse_pre_dencun_2024,historical_stress,a_completa,IF,IF:a_completa,832676,4726,827950,0.005675676973997089,0.9064693686768791,0.03879285784583918,Hipótese experimental: endereços MEV Bot do Label Cloud são positivos; todos os endereços ausentes são negativos.
estresse_pre_dencun_2024,historical_stress,b_completa,AE,AE:b_completa,832676,4726,827950,0.005675676973997089,0.5478541284441888,0.006280171925680882,Hipótese experimental: endereços MEV Bot do Label Cloud são positivos; todos os endereços ausentes são negativos.
estresse_pre_dencun_2024,historical_stress,b_completa,IF,IF:b_completa,832676,4726,827950,0.005675676973997089,0.8641186561590755,0.020191179061204136,Hipótese experimental: endereços MEV Bot do Label Cloud são positivos; todos os endereços ausentes são negativos.
estresse_pre_dencun_2024,historical_stress,c_completa,AE,AE:c_completa,832676,4726,827950,0.005675676973997089,0.46493137556043274,0.004853085346134585,Hipótese experimental: endereços MEV Bot do Label Cloud são positivos; todos os endereços ausentes são negativos.
estresse_pre_dencun_2024,historical_stress,c_completa,IF,IF:c_completa,832676,4726,827950,0.005675676973997089,0.8294690077928811,0.015598316598037646,Hipótese experimental: endereços MEV Bot do Label Cloud são positivos; todos os endereços ausentes são negativos.
estresse_pre_dencun_2024,historical_stress,b_sem_taxas_absolutas,AE,AE:b_sem_taxas_absolutas,832676,4726,827950,0.005675676973997089,0.58064949216458,0.0061563960563074125,Hipótese experimental: endereços MEV Bot do Label Cloud são positivos; todos os endereços ausentes são negativos.
estresse_pre_dencun_2024,historical_stress,b_sem_taxas_absolutas,IF,IF:b_sem_taxas_absolutas,832676,4726,827950,0.005675676973997089,0.6444998618285296,0.007210478730789509,Hipótese experimental: endereços MEV Bot do Label Cloud são positivos; todos os endereços ausentes são negativos.
estresse_pre_dencun_2024,historical_stress,c_sem_taxas_absolutas,AE,AE:c_sem_taxas_absolutas,832676,4726,827950,0.005675676973997089,0.6064198618121733,0.0070060293141326405,Hipótese experimental: endereços MEV Bot do Label Cloud são positivos; todos os endereços ausentes são negativos.
estresse_pre_dencun_2024,historical_stress,c_sem_taxas_absolutas,IF,IF:c_sem_taxas_absolutas,832676,4726,827950,0.005675676973997089,0.6654329427262196,0.007600836256026953,Hipótese experimental: endereços MEV Bot do Label Cloud são positivos; todos os endereços ausentes são negativos.
transicao_dencun_2024,protocol_transition,a_completa,AE,AE:a_completa,244311,1185,243126,0.004850375136608667,0.5133298613269618,0.004618536048960897,Hipótese experimental: endereços MEV Bot do Label Cloud são positivos; todos os endereços ausentes são negativos.
transicao_dencun_2024,protocol_transition,a_completa,IF,IF:a_completa,244311,1185,243126,0.004850375136608667,0.9194895314131191,0.03695999429850722,Hipótese experimental: endereços MEV Bot do Label Cloud são positivos; todos os endereços ausentes são negativos.
transicao_dencun_2024,protocol_transition,b_completa,AE,AE:b_completa,244311,1185,243126,0.004850375136608667,0.5409875541257956,0.006581052665084574,Hipótese experimental: endereços MEV Bot do Label Cloud são positivos; todos os endereços ausentes são negativos.
transicao_dencun_2024,protocol_transition,b_completa,IF,IF:b_completa,244311,1185,243126,0.004850375136608667,0.8923148181990057,0.021986403887751985,Hipótese experimental: endereços MEV Bot do Label Cloud são positivos; todos os endereços ausentes são negativos.
transicao_dencun_2024,protocol_transition,c_completa,AE,AE:c_completa,244311,1185,243126,0.004850375136608667,0.4891863280351481,0.0044551433758581414,Hipótese experimental: endereços MEV Bot do Label Cloud são positivos; todos os endereços ausentes são negativos.
transicao_dencun_2024,protocol_transition,c_completa,IF,IF:c_completa,244311,1185,243126,0.004850375136608667,0.8670082408694268,0.017447858119840474,Hipótese experimental: endereços MEV Bot do Label Cloud são positivos; todos os endereços ausentes são negativos.
transicao_dencun_2024,protocol_transition,b_sem_taxas_absolutas,AE,AE:b_sem_taxas_absolutas,244311,1185,243126,0.004850375136608667,0.6326388470203727,0.006355871173589567,Hipótese experimental: endereços MEV Bot do Label Cloud são positivos; todos os endereços ausentes são negativos.
transicao_dencun_2024,protocol_transition,b_sem_taxas_absolutas,IF,IF:b_sem_taxas_absolutas,244311,1185,243126,0.004850375136608667,0.6494337294016879,0.006200311183910779,Hipótese experimental: endereços MEV Bot do Label Cloud são positivos; todos os endereços ausentes são negativos.
transicao_dencun_2024,protocol_transition,c_sem_taxas_absolutas,AE,AE:c_sem_taxas_absolutas,244311,1185,243126,0.004850375136608667,0.6491925823671294,0.007411876783064171,Hipótese experimental: endereços MEV Bot do Label Cloud são positivos; todos os endereços ausentes são negativos.
transicao_dencun_2024,protocol_transition,c_sem_taxas_absolutas,IF,IF:c_sem_taxas_absolutas,244311,1185,243126,0.004850375136608667,0.6794056742851227,0.006784683644894942,Hipótese experimental: endereços MEV Bot do Label Cloud são positivos; todos os endereços ausentes são negativos.
treino_2024_pos_dencun,train,a_completa,AE,AE:a_completa,3210970,22203,3188767,0.006914732931170332,0.549255488462749,0.0069597491142183825,Hipótese experimental: endereços MEV Bot do Label Cloud são positivos; todos os endereços ausentes são negativos.
treino_2024_pos_dencun,train,a_completa,IF,IF:a_completa,3210970,22203,3188767,0.006914732931170332,0.8998276183967584,0.032647487231488984,Hipótese experimental: endereços MEV Bot do Label Cloud são positivos; todos os endereços ausentes são negativos.
treino_2024_pos_dencun,train,b_completa,AE,AE:b_completa,3210970,22203,3188767,0.006914732931170332,0.5462885944894486,0.007121272520966427,Hipótese experimental: endereços MEV Bot do Label Cloud são positivos; todos os endereços ausentes são negativos.
treino_2024_pos_dencun,train,b_completa,IF,IF:b_completa,3210970,22203,3188767,0.006914732931170332,0.8866878620434242,0.027886429458210633,Hipótese experimental: endereços MEV Bot do Label Cloud são positivos; todos os endereços ausentes são negativos.
treino_2024_pos_dencun,train,c_completa,AE,AE:c_completa,3210970,22203,3188767,0.006914732931170332,0.419663985786247,0.0053281373077079825,Hipótese experimental: endereços MEV Bot do Label Cloud são positivos; todos os endereços ausentes são negativos.
treino_2024_pos_dencun,train,c_completa,IF,IF:c_completa,3210970,22203,3188767,0.006914732931170332,0.8830268698843542,0.02722013220323787,Hipótese experimental: endereços MEV Bot do Label Cloud são positivos; todos os endereços ausentes são negativos.
treino_2024_pos_dencun,train,b_sem_taxas_absolutas,AE,AE:b_sem_taxas_absolutas,3210970,22203,3188767,0.006914732931170332,0.6396263319596027,0.009095860947146185,Hipótese experimental: endereços MEV Bot do Label Cloud são positivos; todos os endereços ausentes são negativos.
treino_2024_pos_dencun,train,b_sem_taxas_absolutas,IF,IF:b_sem_taxas_absolutas,3210970,22203,3188767,0.006914732931170332,0.6792965943371523,0.009622947591236138,Hipótese experimental: endereços MEV Bot do Label Cloud são positivos; todos os endereços ausentes são negativos.
