split,configuration,method,model,top_fraction,top_n,positives_in_top,precision_at_top,recall_at_top,lift_at_top
estresse_pre_dencun_2024,a_completa,AE,AE:a_completa,0.001,833,0,0.0,0.0,0.0
estresse_pre_dencun_2024,a_completa,AE,AE:a_completa,0.005,4164,0,0.0,0.0,0.0
estresse_pre_dencun_2024,a_completa,AE,AE:a_completa,0.01,8327,0,0.0,0.0,0.0
estresse_pre_dencun_2024,a_completa,AE,AE:a_completa,0.05,41634,3,7.205649228995533e-05,0.0006347862886161659,0.012695664785025571
estresse_pre_dencun_2024,a_completa,IF,IF:a_completa,0.001,833,0,0.0,0.0,0.0
estresse_pre_dencun_2024,a_completa,IF,IF:a_completa,0.005,4164,11,0.002641690682036503,0.0023275497249259417,0.4654406327455411
estresse_pre_dencun_2024,a_completa,IF,IF:a_completa,0.01,8327,113,0.013570313438213043,0.023910283537875582,2.390959439796336
estresse_pre_dencun_2024,a_completa,IF,IF:a_completa,0.05,41634,2167,0.05204880626411106,0.4585272958104105,9.170501863050136
estresse_pre_dencun_2024,b_completa,AE,AE:b_completa,0.001,833,6,0.007202881152460984,0.0012695725772323319,1.2690787698913675
estresse_pre_dencun_2024,b_completa,AE,AE:b_completa,0.005,4164,22,0.005283381364073006,0.004655099449851883,0.9308812654910822
estresse_pre_dencun_2024,b_completa,AE,AE:b_completa,0.01,8327,34,0.004083103158400384,0.007194244604316547,0.719403725248455
estresse_pre_dencun_2024,b_completa,AE,AE:b_completa,0.05,41634,84,0.002017581784118749,0.017774016081252644,0.35547861398071595
estresse_pre_dencun_2024,b_completa,IF,IF:b_completa,0.001,833,0,0.0,0.0,0.0
estresse_pre_dencun_2024,b_completa,IF,IF:b_completa,0.005,4164,9,0.002161383285302594,0.0019043588658484976,0.3808150631554428
estresse_pre_dencun_2024,b_completa,IF,IF:b_completa,0.01,8327,13,0.0015611865017413234,0.0027507405840033854,0.27506613024205634
estresse_pre_dencun_2024,b_completa,IF,IF:b_completa,0.05,41634,473,0.011360906951049623,0.10008463817181548,2.001683147772365
estresse_pre_dencun_2024,c_completa,AE,AE:c_completa,0.001,833,0,0.0,0.0,0.0
estresse_pre_dencun_2024,c_completa,AE,AE:c_completa,0.005,4164,0,0.0,0.0,0.0
estresse_pre_dencun_2024,c_completa,AE,AE:c_completa,0.01,8327,9,0.0010808214242824547,0.0019043588658484976,0.19043039785988516
estresse_pre_dencun_2024,c_completa,AE,AE:c_completa,0.05,41634,31,0.0007445837536628717,0.0065594583157003805,0.1311885361119309
estresse_pre_dencun_2024,c_completa,IF,IF:c_completa,0.001,833,0,0.0,0.0,0.0
estresse_pre_dencun_2024,c_completa,IF,IF:c_completa,0.005,4164,9,0.002161383285302594,0.0019043588658484976,0.3808150631554428
estresse_pre_dencun_2024,c_completa,IF,IF:c_completa,0.01,8327,10,0.0012009126936471718,0.0021159542953872196,0.21158933095542792
estresse_pre_dencun_2024,c_completa,IF,IF:c_completa,0.05,41634,256,0.006148820675409521,0.054168429961912824,1.0833633949888486
estresse_pre_dencun_2024,b_sem_taxas_absolutas,AE,AE:b_sem_taxas_absolutas,0.001,833,0,0.0,0.0,0.0
estresse_pre_dencun_2024,b_sem_taxas_absolutas,AE,AE:b_sem_taxas_absolutas,0.005,4164,0,0.0,0.0,0.0
estresse_pre_dencun_2024,b_sem_taxas_absolutas,AE,AE:b_sem_taxas_absolutas,0.01,8327,0,0.0,0.0,0.0
estresse_pre_dencun_2024,b_sem_taxas_absolutas,AE,AE:b_sem_taxas_absolutas,0.05,41634,102,0.002449920737858481,0.02158273381294964,0.4316526026908693
estresse_pre_dencun_2024,b_sem_taxas_absolutas,IF,IF:b_sem_taxas_absolutas,0.001,833,0,0.0,0.0,0.0
estresse_pre_dencun_2024,b_sem_taxas_absolutas,IF,IF:b_sem_taxas_absolutas,0.005,4164,0,0.0,0.0,0.0
estresse_pre_dencun_2024,b_sem_taxas_absolutas,IF,IF:b_sem_taxas_absolutas,0.01,8327,0,0.0,0.0,0.0
estresse_pre_dencun_2024,b_sem_taxas_absolutas,IF,IF:b_sem_taxas_absolutas,0.05,41634,11,0.00026420713839650284,0.0023275497249259417,0.046550770878427086
estresse_pre_dencun_2024,c_sem_taxas_absolutas,AE,AE:c_sem_taxas_absolutas,0.001,833,0,0.0,0.0,0.0
estresse_pre_dencun_2024,c_sem_taxas_absolutas,AE,AE:c_sem_taxas_absolutas,0.005,4164,4,0.0009606147934678194,0.0008463817181548879,0.16925113918019677
estresse_pre_dencun_2024,c_sem_taxas_absolutas,AE,AE:c_sem_taxas_absolutas,0.01,8327,21,0.002521916656659061,0.004443504020313161,0.4443375950063987
estresse_pre_dencun_2024,c_sem_taxas_absolutas,AE,AE:c_sem_taxas_absolutas,0.05,41634,287,0.006893404429072393,0.060727888277613204,1.2145519311007795
estresse_pre_dencun_2024,c_sem_taxas_absolutas,IF,IF:c_sem_taxas_absolutas,0.001,833,0,0.0,0.0,0.0
estresse_pre_dencun_2024,c_sem_taxas_absolutas,IF,IF:c_sem_taxas_absolutas,0.005,4164,0,0.0,0.0,0.0
estresse_pre_dencun_2024,c_sem_taxas_absolutas,IF,IF:c_sem_taxas_absolutas,0.01,8327,0,0.0,0.0,0.0
estresse_pre_dencun_2024,c_sem_taxas_absolutas,IF,IF:c_sem_taxas_absolutas,0.05,41634,23,0.0005524331075563242,0.004866694879390605,0.09733343001852937
transicao_dencun_2024,a_completa,AE,AE:a_completa,0.001,245,0,0.0,0.0,0.0
transicao_dencun_2024,a_completa,AE,AE:a_completa,0.005,1222,0,0.0,0.0,0.0
transicao_dencun_2024,a_completa,AE,AE:a_completa,0.01,2444,0,0.0,0.0,0.0
transicao_dencun_2024,a_completa,AE,AE:a_completa,0.05,12216,0,0.0,0.0,0.0
transicao_dencun_2024,a_completa,IF,IF:a_completa,0.001,245,0,0.0,0.0,0.0
transicao_dencun_2024,a_completa,IF,IF:a_completa,0.005,1222,0,0.0,0.0,0.0
transicao_dencun_2024,a_completa,IF,IF:a_completa,0.01,2444,1,0.0004091653027823241,0.0008438818565400844,0.08435745509540285
transicao_dencun_2024,a_completa,IF,IF:a_completa,0.05,12216,628,0.05140798952193844,0.529957805907173,10.59876567771671
transicao_dencun_2024,b_completa,AE,AE:b_completa,0.001,245,10,0.04081632653061224,0.008438818565400843,8.415086540945492
transicao_dencun_2024,b_completa,AE,AE:b_completa,0.005,1222,13,0.010638297872340425,0.010970464135021098,2.193293832480474
transicao_dencun_2024,b_completa,AE,AE:b_completa,0.01,2444,14,0.0057283142389525366,0.01181434599156118,1.1810043713356397
transicao_dencun_2024,b_completa,AE,AE:b_completa,0.05,12216,21,0.001719056974459725,0.017721518987341773,0.3544173236179155
transicao_dencun_2024,b_completa,IF,IF:b_completa,0.001,245,0,0.0,0.0,0.0
transicao_dencun_2024,b_completa,IF,IF:b_completa,0.005,1222,2,0.0016366612111292963,0.0016877637130801688,0.3374298203816114
transicao_dencun_2024,b_completa,IF,IF:b_completa,0.01,2444,8,0.0032733224222585926,0.006751054852320675,0.6748596407632228
transicao_dencun_2024,b_completa,IF,IF:b_completa,0.05,12216,127,0.010396201702685003,0.10717299578059072,2.14338095711787
transicao_dencun_2024,c_completa,AE,AE:c_completa,0.001,245,0,0.0,0.0,0.0
transicao_dencun_2024,c_completa,AE,AE:c_completa,0.005,1222,0,0.0,0.0,0.0
transicao_dencun_2024,c_completa,AE,AE:c_completa,0.01,2444,0,0.0,0.0,0.0
transicao_dencun_2024,c_completa,AE,AE:c_completa,0.05,12216,12,0.0009823182711198428,0.010126582278481013,0.20252418492452312
transicao_dencun_2024,c_completa,IF,IF:c_completa,0.001,245,0,0.0,0.0,0.0
transicao_dencun_2024,c_completa,IF,IF:c_completa,0.005,1222,0,0.0,0.0,0.0
transicao_dencun_2024,c_completa,IF,IF:c_completa,0.01,2444,3,0.0012274959083469722,0.002531645569620253,0.2530723652862085
