split,split_role,policy,attack_scope,configuration,method,model,rows,positives,contextual_negatives,prevalence,roc_auc,pr_auc_average_precision,roc_auc_ci_low,roc_auc_ci_high,pr_auc_ci_low,pr_auc_ci_high
estresse_pre_dencun_2024,historical_stress,strict,all,a_completa,AE,AE:a_completa,413,268,145,0.648910411622276,0.4596757591353577,0.6424284058269317,0.39931549150797735,0.5219242151312403,0.6023591597150743,0.6874051862870251
estresse_pre_dencun_2024,historical_stress,strict,insertion,a_completa,AE,AE:a_completa,371,247,124,0.6657681940700808,0.5122763484393367,0.705190956638549,nan,nan,nan,nan
estresse_pre_dencun_2024,historical_stress,strict,displacement,a_completa,AE,AE:a_completa,42,21,21,0.5,0.09750566893424037,0.33426450186858453,nan,nan,nan,nan
estresse_pre_dencun_2024,historical_stress,sensitivity,all,a_completa,AE,AE:a_completa,1101,612,489,0.555858310626703,0.4879906973014154,0.5897814433718165,0.45309237873745273,0.5251167849552909,0.5593066532619082,0.6224550825537353
estresse_pre_dencun_2024,historical_stress,sensitivity,insertion,a_completa,AE,AE:a_completa,371,247,124,0.6657681940700808,0.5122763484393367,0.705190956638549,nan,nan,nan,nan
estresse_pre_dencun_2024,historical_stress,sensitivity,displacement,a_completa,AE,AE:a_completa,730,365,365,0.5,0.5463013698630137,0.5665777297653366,nan,nan,nan,nan
estresse_pre_dencun_2024,historical_stress,strict,all,a_completa,IF,IF:a_completa,413,268,145,0.648910411622276,0.7948275862068965,0.7954704849453432,0.7394074884199691,0.8487956767884715,0.7472010986255107,0.852891034333108
estresse_pre_dencun_2024,historical_stress,strict,insertion,a_completa,IF,IF:a_completa,371,247,124,0.6657681940700808,0.9192242392581951,0.9594787407093035,nan,nan,nan,nan
estresse_pre_dencun_2024,historical_stress,strict,displacement,a_completa,IF,IF:a_completa,42,21,21,0.5,0.02267573696145127,0.32217146138179165,nan,nan,nan,nan
estresse_pre_dencun_2024,historical_stress,sensitivity,all,a_completa,IF,IF:a_completa,1101,612,489,0.555858310626703,0.6411661119798976,0.6620872956524086,0.6097081044415039,0.6675970200622853,0.6320695788041731,0.6967284594460575
estresse_pre_dencun_2024,historical_stress,sensitivity,insertion,a_completa,IF,IF:a_completa,371,247,124,0.6657681940700808,0.9192242392581951,0.9594787407093035,nan,nan,nan,nan
estresse_pre_dencun_2024,historical_stress,sensitivity,displacement,a_completa,IF,IF:a_completa,730,365,365,0.5,0.4729705385625821,0.47466206454155946,nan,nan,nan,nan
estresse_pre_dencun_2024,historical_stress,strict,all,b_completa,AE,AE:b_completa,413,268,145,0.648910411622276,0.42542460113226965,0.6135504445803495,0.36410254760679367,0.48314590838908905,0.5708222319270201,0.6561937963665102
estresse_pre_dencun_2024,historical_stress,strict,insertion,b_completa,AE,AE:b_completa,371,247,124,0.6657681940700808,0.4605263157894738,0.6547531966437492,nan,nan,nan,nan
estresse_pre_dencun_2024,historical_stress,strict,displacement,b_completa,AE,AE:b_completa,42,21,21,0.5,0.21315192743764172,0.40555524972790924,nan,nan,nan,nan
estresse_pre_dencun_2024,historical_stress,sensitivity,all,b_completa,AE,AE:b_completa,1101,612,489,0.555858310626703,0.4706416990790863,0.549329292785854,0.4374684229520029,0.502550640228825,0.522274748455968,0.5787836323881882
estresse_pre_dencun_2024,historical_stress,sensitivity,insertion,b_completa,AE,AE:b_completa,371,247,124,0.6657681940700808,0.4605263157894738,0.6547531966437492,nan,nan,nan,nan
estresse_pre_dencun_2024,historical_stress,sensitivity,displacement,b_completa,AE,AE:b_completa,730,365,365,0.5,0.4973691124038281,0.5088249217104648,nan,nan,nan,nan
estresse_pre_dencun_2024,historical_stress,strict,all,b_completa,IF,IF:b_completa,413,268,145,0.648910411622276,0.8093154915079774,0.7847221707664767,0.7505970149253732,0.8621332990221307,0.737368829095455,0.8420306177129402
estresse_pre_dencun_2024,historical_stress,strict,insertion,b_completa,IF,IF:b_completa,371,247,124,0.6657681940700808,0.940022201906752,0.9687527123363173,nan,nan,nan,nan
estresse_pre_dencun_2024,historical_stress,strict,displacement,b_completa,IF,IF:b_completa,42,21,21,0.5,0.034013605442176895,0.32384246883445605,nan,nan,nan,nan
estresse_pre_dencun_2024,historical_stress,sensitivity,all,b_completa,IF,IF:b_completa,1101,612,489,0.555858310626703,0.6401536415520537,0.6461997233656092,0.610313832417766,0.6752491078230883,0.6194284147166972,0.6809191788151742
estresse_pre_dencun_2024,historical_stress,sensitivity,insertion,b_completa,IF,IF:b_completa,371,247,124,0.6657681940700808,0.940022201906752,0.9687527123363173,nan,nan,nan,nan
estresse_pre_dencun_2024,historical_stress,sensitivity,displacement,b_completa,IF,IF:b_completa,730,365,365,0.5,0.4736911240382811,0.4727715470251673,nan,nan,nan,nan
estresse_pre_dencun_2024,historical_stress,strict,all,c_completa,AE,AE:c_completa,413,268,145,0.648910411622276,0.44956253216675246,0.6390450457401126,0.3914487905301081,0.5024768399382398,0.60057145705535,0.6816229760916992
