split,policy,attack_scope,configuration,method,model,events,attacker_victim_pairs,attacker_score_higher,equal_scores,pairwise_superiority_rate,events_all_attackers_above_victim,event_superiority_rate,median_score_margin,mean_score_margin
estresse_pre_dencun_2024,strict,all,a_completa,AE,AE:a_completa,145,269,127,0,0.4721189591078067,34,0.23448275862068965,-0.0010797269642353058,0.0022531617787704705
estresse_pre_dencun_2024,strict,insertion,a_completa,AE,AE:a_completa,124,248,127,0,0.5120967741935484,34,0.27419354838709675,0.0004343632608652115,0.009295722573897951
estresse_pre_dencun_2024,strict,displacement,a_completa,AE,AE:a_completa,21,21,0,0,0.0,0,0.0,-0.07427210360765457,-0.08091612761130645
estresse_pre_dencun_2024,sensitivity,all,a_completa,AE,AE:a_completa,587,711,454,0,0.6385372714486639,361,0.6149914821124361,0.002771027386188507,0.004849499099365266
estresse_pre_dencun_2024,sensitivity,insertion,a_completa,AE,AE:a_completa,124,248,127,0,0.5120967741935484,34,0.27419354838709675,0.0004343632608652115,0.009295722573897951
estresse_pre_dencun_2024,sensitivity,displacement,a_completa,AE,AE:a_completa,463,463,327,0,0.7062634989200864,327,0.7062634989200864,0.0031297802925109863,0.002467936633524865
estresse_pre_dencun_2024,strict,all,a_completa,IF,IF:a_completa,145,269,240,0,0.8921933085501859,117,0.8068965517241379,0.08045220375061035,0.06964221785059649
estresse_pre_dencun_2024,strict,insertion,a_completa,IF,IF:a_completa,124,248,240,0,0.967741935483871,117,0.9435483870967742,0.08676135540008545,0.08455840450140738
estresse_pre_dencun_2024,strict,displacement,a_completa,IF,IF:a_completa,21,21,0,0,0.0,0,0.0,-0.10549986362457275,-0.10651084354945592
estresse_pre_dencun_2024,sensitivity,all,a_completa,IF,IF:a_completa,587,711,399,5,0.5611814345991561,276,0.47018739352640543,0.0027296245098114014,0.02664312808322504
estresse_pre_dencun_2024,sensitivity,insertion,a_completa,IF,IF:a_completa,124,248,240,0,0.967741935483871,117,0.9435483870967742,0.08676135540008545,0.08455840450140738
estresse_pre_dencun_2024,sensitivity,displacement,a_completa,IF,IF:a_completa,463,463,159,5,0.3434125269978402,159,0.3434125269978402,-0.0022049248218536377,-0.004378445462583208
estresse_pre_dencun_2024,strict,all,b_completa,AE,AE:b_completa,145,269,109,0,0.4052044609665427,33,0.22758620689655173,-0.013515956699848175,-0.006404112505148335
estresse_pre_dencun_2024,strict,insertion,b_completa,AE,AE:b_completa,124,248,106,0,0.4274193548387097,30,0.24193548387096775,-0.00751861184835434,-0.0033597102493888907
estresse_pre_dencun_2024,strict,displacement,b_completa,AE,AE:b_completa,21,21,3,0,0.14285714285714285,3,0.14285714285714285,-0.04552289843559265,-0.042357053430307476
estresse_pre_dencun_2024,sensitivity,all,b_completa,AE,AE:b_completa,587,711,394,0,0.5541490857946554,318,0.5417376490630323,0.0009620785713195801,-0.0009071036476416594
estresse_pre_dencun_2024,sensitivity,insertion,b_completa,AE,AE:b_completa,124,248,106,0,0.4274193548387097,30,0.24193548387096775,-0.00751861184835434,-0.0033597102493888907
estresse_pre_dencun_2024,sensitivity,displacement,b_completa,AE,AE:b_completa,463,463,288,0,0.6220302375809935,288,0.6220302375809935,0.0015766322612762451,0.0004066035602056697
estresse_pre_dencun_2024,strict,all,b_completa,IF,IF:b_completa,145,269,243,0,0.9033457249070632,119,0.8206896551724138,0.057044416666030884,0.05104427565872448
estresse_pre_dencun_2024,strict,insertion,b_completa,IF,IF:b_completa,124,248,243,0,0.9798387096774194,119,0.9596774193548387,0.059849292039871216,0.061347760139934475
estresse_pre_dencun_2024,strict,displacement,b_completa,IF,IF:b_completa,21,21,0,0,0.0,0,0.0,-0.06707268953323364,-0.07063496964318412
estresse_pre_dencun_2024,sensitivity,all,b_completa,IF,IF:b_completa,587,711,424,7,0.5963431786216596,300,0.5110732538330494,0.0025641918182373047,0.01917330612613179
estresse_pre_dencun_2024,sensitivity,insertion,b_completa,IF,IF:b_completa,124,248,243,0,0.9798387096774194,119,0.9596774193548387,0.059849292039871216,0.061347760139934475
estresse_pre_dencun_2024,sensitivity,displacement,b_completa,IF,IF:b_completa,463,463,181,7,0.39092872570194387,181,0.39092872570194387,-0.0012701153755187988,-0.0034168981836372524
estresse_pre_dencun_2024,strict,all,c_completa,AE,AE:c_completa,145,269,113,0,0.4200743494423792,31,0.21379310344827587,-0.009131088852882385,0.0002721528969289645
estresse_pre_dencun_2024,strict,insertion,c_completa,AE,AE:c_completa,124,248,112,0,0.45161290322580644,30,0.24193548387096775,-0.006345607340335846,0.005050878911729782
estresse_pre_dencun_2024,strict,displacement,c_completa,AE,AE:c_completa,21,21,1,0,0.047619047619047616,1,0.047619047619047616,-0.04520075023174286,-0.05616232575405212
estresse_pre_dencun_2024,sensitivity,all,c_completa,AE,AE:c_completa,587,711,286,0,0.4022503516174402,204,0.3475298126064736,-0.0026870742440223694,-0.010036321239003653
estresse_pre_dencun_2024,sensitivity,insertion,c_completa,AE,AE:c_completa,124,248,112,0,0.45161290322580644,30,0.24193548387096775,-0.006345607340335846,0.005050878911729782
estresse_pre_dencun_2024,sensitivity,displacement,c_completa,AE,AE:c_completa,463,463,174,0,0.3758099352051836,174,0.3758099352051836,-0.0022808313369750977,-0.018117586114558493
estresse_pre_dencun_2024,strict,all,c_completa,IF,IF:c_completa,145,269,237,0,0.8810408921933085,116,0.8,0.05807265639305115,0.05079022792192197
estresse_pre_dencun_2024,strict,insertion,c_completa,IF,IF:c_completa,124,248,237,0,0.9556451612903226,116,0.9354838709677419,0.05981725454330444,0.05985674298098011
estresse_pre_dencun_2024,strict,displacement,c_completa,IF,IF:c_completa,21,21,0,0,0.0,0,0.0,-0.058912575244903564,-0.056280997537431265
estresse_pre_dencun_2024,sensitivity,all,c_completa,IF,IF:c_completa,587,711,419,5,0.5893108298171589,298,0.5076660988074957,0.002531975507736206,0.01975472684315656
estresse_pre_dencun_2024,sensitivity,insertion,c_completa,IF,IF:c_completa,124,248,237,0,0.9556451612903226,116,0.9354838709677419,0.05981725454330444,0.05985674298098011
estresse_pre_dencun_2024,sensitivity,displacement,c_completa,IF,IF:c_completa,463,463,182,5,0.3930885529157667,182,0.3930885529157667,-0.0011110305786132812,-0.001725402751185209
estresse_pre_dencun_2024,strict,all,b_sem_taxas_absolutas,AE,AE:b_sem_taxas_absolutas,145,269,168,0,0.6245353159851301,81,0.5586206896551724,0.008876629173755646,0.0069502942873421215
estresse_pre_dencun_2024,strict,insertion,b_sem_taxas_absolutas,AE,AE:b_sem_taxas_absolutas,124,248,167,0,0.6733870967741935,80,0.6451612903225806,0.01183437742292881,0.011935659744326145
estresse_pre_dencun_2024,strict,displacement,b_sem_taxas_absolutas,AE,AE:b_sem_taxas_absolutas,21,21,1,0,0.047619047619047616,1,0.047619047619047616,-0.05578363686800003,-0.05192449777608826
estresse_pre_dencun_2024,sensitivity,all,b_sem_taxas_absolutas,AE,AE:b_sem_taxas_absolutas,587,711,360,0,0.5063291139240507,273,0.46507666098807493,3.0025839805603027e-05,0.002947706954472511
estresse_pre_dencun_2024,sensitivity,insertion,b_sem_taxas_absolutas,AE,AE:b_sem_taxas_absolutas,124,248,167,0,0.6733870967741935,80,0.6451612903225806,0.01183437742292881,0.011935659744326145
estresse_pre_dencun_2024,sensitivity,displacement,b_sem_taxas_absolutas,AE,AE:b_sem_taxas_absolutas,463,463,193,0,0.4168466522678186,193,0.4168466522678186,-0.00043986737728118896,-0.0018665744534836475
estresse_pre_dencun_2024,strict,all,b_sem_taxas_absolutas,IF,IF:b_sem_taxas_absolutas,145,269,226,0,0.8401486988847584,112,0.7724137931034483,0.026459604501724243,0.02161878458186153
estresse_pre_dencun_2024,strict,insertion,b_sem_taxas_absolutas,IF,IF:b_sem_taxas_absolutas,124,248,226,0,0.9112903225806451,112,0.9032258064516129,0.027609750628471375,0.030247836704215696
estresse_pre_dencun_2024,strict,displacement,b_sem_taxas_absolutas,IF,IF:b_sem_taxas_absolutas,21,21,0,0,0.0,0,0.0,-0.07582569122314453,-0.08028621191070193
