split_order,split,role,configuration,rows,ae_anomalies_q995,ae_rate_q995,if_anomalies_q995,if_rate_q995,intersection,union,jaccard
1,estresse_pre_dencun_2024,historical_stress,a_completa,832676,2102,0.002524391239809962,1671,0.0020067829503912686,154,3619,0.0425531914893617
2,transicao_dencun_2024,protocol_transition,a_completa,244311,491,0.002009733495421819,364,0.0014899042613717762,23,832,0.027644230769230768
3,treino_2024_pos_dencun,train,a_completa,3210970,7753,0.002414535171614808,5565,0.0017331211440779577,721,12597,0.05723584980550925
4,validacao_2025_pre_pectra,validation,a_completa,1442555,7213,0.005000155973255786,7213,0.005000155973255786,798,13628,0.058555914294100384
5,transicao_pectra_2025,protocol_transition,a_completa,423759,2452,0.005786307783433508,2041,0.004816416878461578,303,4190,0.07231503579952267
6,teste_final_2025,test,a_completa,2827717,51622,0.018255716537404557,39396,0.013932087263329392,5871,85147,0.06895134297156683
7,estresse_fusaka_2025,future_stress,a_completa,512462,37332,0.07284832826629097,19309,0.03767889131291686,6070,50571,0.12002926578473828
1,estresse_pre_dencun_2024,historical_stress,b_completa,832676,6029,0.0072405113153255285,2966,0.003562009713261821,2193,6802,0.32240517494854454
2,transicao_dencun_2024,protocol_transition,b_completa,244311,370,0.0015144631228229592,290,0.0011870116368071842,5,655,0.007633587786259542
3,treino_2024_pos_dencun,train,b_completa,3210970,6770,0.002108397151016671,1894,0.0005898529104912223,469,8195,0.057230018303843805
4,validacao_2025_pre_pectra,validation,b_completa,1442555,7213,0.005000155973255786,7214,0.005000849187725945,1794,12633,0.1420090239848017
5,transicao_pectra_2025,protocol_transition,b_completa,423759,1958,0.004620550831958731,1724,0.004068350170733837,1075,2607,0.4123513617184503
6,teste_final_2025,test,b_completa,2827717,47525,0.01680684453217914,22259,0.007871721250747511,5017,64767,0.07746228789352602
7,estresse_fusaka_2025,future_stress,b_completa,512462,77088,0.15042676335025817,8913,0.017392509103113987,2448,83553,0.029298768446375356
1,estresse_pre_dencun_2024,historical_stress,c_completa,832676,7611,0.009140409955372799,3239,0.0038898683281372347,2237,8613,0.25972367351677694
2,transicao_dencun_2024,protocol_transition,c_completa,244311,530,0.002169366094854509,308,0.0012606882211607336,29,809,0.03584672435105068
3,treino_2024_pos_dencun,train,c_completa,3210970,6314,0.0019663839898846768,2442,0.0007605178497463383,545,8211,0.06637437583729144
4,validacao_2025_pre_pectra,validation,c_completa,1442555,7213,0.005000155973255786,7213,0.005000155973255786,2771,11655,0.23775203775203776
5,transicao_pectra_2025,protocol_transition,c_completa,423759,2306,0.005441772328139343,2257,0.005326140565746096,1303,3260,0.39969325153374236
6,teste_final_2025,test,c_completa,2827717,26423,0.009344287281930971,31579,0.011167666354164862,8020,49982,0.1604577647953263
7,estresse_fusaka_2025,future_stress,c_completa,512462,24130,0.04708641811490413,15242,0.029742693116757927,7541,31831,0.23690741729760298
1,estresse_pre_dencun_2024,historical_stress,b_sem_taxas_absolutas,832676,8079,0.009702453295159221,3158,0.003792591596251123,2683,8554,0.31365443067570725
2,transicao_dencun_2024,protocol_transition,b_sem_taxas_absolutas,244311,370,0.0015144631228229592,256,0.00104784475525048,13,613,0.021207177814029365
3,treino_2024_pos_dencun,train,b_sem_taxas_absolutas,3210970,4681,0.0014578149281992668,2475,0.0007707951179861537,436,6720,0.06488095238095239
4,validacao_2025_pre_pectra,validation,b_sem_taxas_absolutas,1442555,7213,0.005000155973255786,7213,0.005000155973255786,4604,9822,0.46874363673386277
5,transicao_pectra_2025,protocol_transition,b_sem_taxas_absolutas,423759,1757,0.00414622462295786,1350,0.0031857730455282364,1019,2088,0.48802681992337166
6,teste_final_2025,test,b_sem_taxas_absolutas,2827717,8562,0.003027884332130832,4315,0.0015259660001336768,1037,11840,0.08758445945945946
7,estresse_fusaka_2025,future_stress,b_sem_taxas_absolutas,512462,1522,0.0029699763104386275,851,0.0016606109331033325,459,1914,0.23981191222570533
1,estresse_pre_dencun_2024,historical_stress,c_sem_taxas_absolutas,832676,6939,0.00833337336491024,3469,0.004166086208801502,2116,8292,0.2551857211770381
2,transicao_dencun_2024,protocol_transition,c_sem_taxas_absolutas,244311,356,0.0014571591127701985,647,0.00264826389315258,16,987,0.016210739614994935
3,treino_2024_pos_dencun,train,c_sem_taxas_absolutas,3210970,6789,0.0021143143660638376,4688,0.0014599949547955914,1039,10438,0.09954014178961487
4,validacao_2025_pre_pectra,validation,c_sem_taxas_absolutas,1442555,7213,0.005000155973255786,7213,0.005000155973255786,2469,11957,0.20648992222129298
5,transicao_pectra_2025,protocol_transition,c_sem_taxas_absolutas,423759,4342,0.010246390047173039,1791,0.004226458907067461,1061,5072,0.20918769716088328
6,teste_final_2025,test,c_sem_taxas_absolutas,2827717,16091,0.005690456293893626,5935,0.0020988663292684524,1672,20354,0.0821460155252039
7,estresse_fusaka_2025,future_stress,c_sem_taxas_absolutas,512462,3750,0.007317615745167446,1072,0.002091862421018534,655,4167,0.15718742500599953
