split_order,split,role,configuration,union_candidates,both,only_ae,only_if,type_4_candidates,candidate_path,size_bytes
1,estresse_pre_dencun_2024,historical_stress,a_completa,3619,154,1948,1517,0,E:\Mestrado\src\05-analise-resultados\resultados\candidatos\a_completa\01_estresse_pre_dencun_2024.parquet,439680
2,transicao_dencun_2024,protocol_transition,a_completa,832,23,468,341,0,E:\Mestrado\src\05-analise-resultados\resultados\candidatos\a_completa\02_transicao_dencun_2024.parquet,99156
3,treino_2024_pos_dencun,train,a_completa,12597,721,7032,4844,0,E:\Mestrado\src\05-analise-resultados\resultados\candidatos\a_completa\03_treino_2024_pos_dencun.parquet,1455423
4,validacao_2025_pre_pectra,validation,a_completa,13628,798,6415,6415,0,E:\Mestrado\src\05-analise-resultados\resultados\candidatos\a_completa\04_validacao_2025_pre_pectra.parquet,1486015
5,transicao_pectra_2025,protocol_transition,a_completa,4190,303,2149,1738,49,E:\Mestrado\src\05-analise-resultados\resultados\candidatos\a_completa\05_transicao_pectra_2025.parquet,459972
6,teste_final_2025,test,a_completa,85147,5871,45751,33525,506,E:\Mestrado\src\05-analise-resultados\resultados\candidatos\a_completa\06_teste_final_2025.parquet,8061992
7,estresse_fusaka_2025,future_stress,a_completa,50571,6070,31262,13239,210,E:\Mestrado\src\05-analise-resultados\resultados\candidatos\a_completa\07_estresse_fusaka_2025.parquet,4620072
1,estresse_pre_dencun_2024,historical_stress,b_completa,6802,2193,3836,773,0,E:\Mestrado\src\05-analise-resultados\resultados\candidatos\b_completa\01_estresse_pre_dencun_2024.parquet,495453
2,transicao_dencun_2024,protocol_transition,b_completa,655,5,365,285,0,E:\Mestrado\src\05-analise-resultados\resultados\candidatos\b_completa\02_transicao_dencun_2024.parquet,68050
3,treino_2024_pos_dencun,train,b_completa,8195,469,6301,1425,0,E:\Mestrado\src\05-analise-resultados\resultados\candidatos\b_completa\03_treino_2024_pos_dencun.parquet,771410
4,validacao_2025_pre_pectra,validation,b_completa,12633,1794,5419,5420,0,E:\Mestrado\src\05-analise-resultados\resultados\candidatos\b_completa\04_validacao_2025_pre_pectra.parquet,1135332
5,transicao_pectra_2025,protocol_transition,b_completa,2607,1075,883,649,2,E:\Mestrado\src\05-analise-resultados\resultados\candidatos\b_completa\05_transicao_pectra_2025.parquet,229717
6,teste_final_2025,test,b_completa,64767,5017,42508,17242,688,E:\Mestrado\src\05-analise-resultados\resultados\candidatos\b_completa\06_teste_final_2025.parquet,5960487
7,estresse_fusaka_2025,future_stress,b_completa,83553,2448,74640,6465,524,E:\Mestrado\src\05-analise-resultados\resultados\candidatos\b_completa\07_estresse_fusaka_2025.parquet,7749694
1,estresse_pre_dencun_2024,historical_stress,c_completa,8613,2237,5374,1002,0,E:\Mestrado\src\05-analise-resultados\resultados\candidatos\c_completa\01_estresse_pre_dencun_2024.parquet,669230
2,transicao_dencun_2024,protocol_transition,c_completa,809,29,501,279,0,E:\Mestrado\src\05-analise-resultados\resultados\candidatos\c_completa\02_transicao_dencun_2024.parquet,84944
3,treino_2024_pos_dencun,train,c_completa,8211,545,5769,1897,0,E:\Mestrado\src\05-analise-resultados\resultados\candidatos\c_completa\03_treino_2024_pos_dencun.parquet,793375
4,validacao_2025_pre_pectra,validation,c_completa,11655,2771,4442,4442,0,E:\Mestrado\src\05-analise-resultados\resultados\candidatos\c_completa\04_validacao_2025_pre_pectra.parquet,1061614
5,transicao_pectra_2025,protocol_transition,c_completa,3260,1303,1003,954,22,E:\Mestrado\src\05-analise-resultados\resultados\candidatos\c_completa\05_transicao_pectra_2025.parquet,293601
6,teste_final_2025,test,c_completa,49982,8020,18403,23559,742,E:\Mestrado\src\05-analise-resultados\resultados\candidatos\c_completa\06_teste_final_2025.parquet,4565598
7,estresse_fusaka_2025,future_stress,c_completa,31831,7541,16589,7701,359,E:\Mestrado\src\05-analise-resultados\resultados\candidatos\c_completa\07_estresse_fusaka_2025.parquet,2895276
1,estresse_pre_dencun_2024,historical_stress,b_sem_taxas_absolutas,8554,2683,5396,475,0,E:\Mestrado\src\05-analise-resultados\resultados\candidatos\b_sem_taxas_absolutas\01_estresse_pre_dencun_2024.parquet,586564
2,transicao_dencun_2024,protocol_transition,b_sem_taxas_absolutas,613,13,357,243,0,E:\Mestrado\src\05-analise-resultados\resultados\candidatos\b_sem_taxas_absolutas\02_transicao_dencun_2024.parquet,55946
3,treino_2024_pos_dencun,train,b_sem_taxas_absolutas,6720,436,4245,2039,0,E:\Mestrado\src\05-analise-resultados\resultados\candidatos\b_sem_taxas_absolutas\03_treino_2024_pos_dencun.parquet,574243
4,validacao_2025_pre_pectra,validation,b_sem_taxas_absolutas,9822,4604,2609,2609,0,E:\Mestrado\src\05-analise-resultados\resultados\candidatos\b_sem_taxas_absolutas\04_validacao_2025_pre_pectra.parquet,749917
5,transicao_pectra_2025,protocol_transition,b_sem_taxas_absolutas,2088,1019,738,331,0,E:\Mestrado\src\05-analise-resultados\resultados\candidatos\b_sem_taxas_absolutas\05_transicao_pectra_2025.parquet,158415
6,teste_final_2025,test,b_sem_taxas_absolutas,11840,1037,7525,3278,9,E:\Mestrado\src\05-analise-resultados\resultados\candidatos\b_sem_taxas_absolutas\06_teste_final_2025.parquet,963350
7,estresse_fusaka_2025,future_stress,b_sem_taxas_absolutas,1914,459,1063,392,1,E:\Mestrado\src\05-analise-resultados\resultados\candidatos\b_sem_taxas_absolutas\07_estresse_fusaka_2025.parquet,155007
1,estresse_pre_dencun_2024,historical_stress,c_sem_taxas_absolutas,8292,2116,4823,1353,0,E:\Mestrado\src\05-analise-resultados\resultados\candidatos\c_sem_taxas_absolutas\01_estresse_pre_dencun_2024.parquet,639147
2,transicao_dencun_2024,protocol_transition,c_sem_taxas_absolutas,987,16,340,631,0,E:\Mestrado\src\05-analise-resultados\resultados\candidatos\c_sem_taxas_absolutas\02_transicao_dencun_2024.parquet,101786
3,treino_2024_pos_dencun,train,c_sem_taxas_absolutas,10438,1039,5750,3649,0,E:\Mestrado\src\05-analise-resultados\resultados\candidatos\c_sem_taxas_absolutas\03_treino_2024_pos_dencun.parquet,1090367
4,validacao_2025_pre_pectra,validation,c_sem_taxas_absolutas,11957,2469,4744,4744,0,E:\Mestrado\src\05-analise-resultados\resultados\candidatos\c_sem_taxas_absolutas\04_validacao_2025_pre_pectra.parquet,1092685
5,transicao_pectra_2025,protocol_transition,c_sem_taxas_absolutas,5072,1061,3281,730,5,E:\Mestrado\src\05-analise-resultados\resultados\candidatos\c_sem_taxas_absolutas\05_transicao_pectra_2025.parquet,462057
6,teste_final_2025,test,c_sem_taxas_absolutas,20354,1672,14419,4263,459,E:\Mestrado\src\05-analise-resultados\resultados\candidatos\c_sem_taxas_absolutas\06_teste_final_2025.parquet,1909000
7,estresse_fusaka_2025,future_stress,c_sem_taxas_absolutas,4167,655,3095,417,67,E:\Mestrado\src\05-analise-resultados\resultados\candidatos\c_sem_taxas_absolutas\07_estresse_fusaka_2025.parquet,402724
